recommendation,empirical_novelty_and_significance,technical_novelty_and_significance,correctness,url,review_id
6,2,3,2,https://openreview.net/forum?id=zzqBoIFOQ1,MXV1TACjo_
8,3,3,4,https://openreview.net/forum?id=zzqBoIFOQ1,AQTBBXOc898
6,2,3,4,https://openreview.net/forum?id=zzqBoIFOQ1,aib0K4Qbbj
6,2,3,4,https://openreview.net/forum?id=zzqBoIFOQ1,d3-kXa-Agu
3,2,2,2,https://openreview.net/forum?id=zzL_5WoI3I,f8lmUCwMFi
8,3,4,4,https://openreview.net/forum?id=zzL_5WoI3I,OP22Ykrg2_
6,2,3,4,https://openreview.net/forum?id=zzL_5WoI3I,3EILcfDnSF
5,2,3,3,https://openreview.net/forum?id=zyfEWkV6it,tLSsnSAJhF
6,2,2,3,https://openreview.net/forum?id=zyfEWkV6it,c1Ef_XDl1bl
3,1,1,3,https://openreview.net/forum?id=zyfEWkV6it,1JFpPf30yT
3,1,2,2,https://openreview.net/forum?id=zyfEWkV6it,Az1mDQkwYc
5,2,2,2,https://openreview.net/forum?id=zyfEWkV6it,3MB7g0ICwd5
6,3,3,3,https://openreview.net/forum?id=zyfEWkV6it,apmjMXvpru
8,Not applicabl,3,3,https://openreview.net/forum?id=zyLVMgsZ0U_,40ffXOujhg
8,4,4,4,https://openreview.net/forum?id=zyLVMgsZ0U_,0biiQs1Alj
8,4,4,4,https://openreview.net/forum?id=zyLVMgsZ0U_,bt5n0vS9GaF
8,Not applicabl,3,3,https://openreview.net/forum?id=zyLVMgsZ0U_,UaxTjXeeu6
3,2,2,3,https://openreview.net/forum?id=zufPou5foW,zoGhFXCYWM
3,2,2,4,https://openreview.net/forum?id=zufPou5foW,2LsyxIaEBNi
3,Not applicabl,2,3,https://openreview.net/forum?id=zufPou5foW,m-GXnLW_A_
6,2,2,4,https://openreview.net/forum?id=zufPou5foW,C6xz9G0pRf
6,3,3,3,https://openreview.net/forum?id=zuQQ7GrDFfH,PotYogaR7c
6,3,3,4,https://openreview.net/forum?id=zuQQ7GrDFfH,qMWH3Cpvn8D
3,2,2,2,https://openreview.net/forum?id=zuQQ7GrDFfH,CEHznpxY-uM
3,3,2,3,https://openreview.net/forum?id=zuQQ7GrDFfH,Z5wetyEm_p
3,2,2,3,https://openreview.net/forum?id=ztgT8Iok130,fd-k09hZLz
8,4,3,3,https://openreview.net/forum?id=ztgT8Iok130,JNPFJET4R6
