lambda,train_mse,val_mse
0.0,1.3789832890007778,1.3063419296216476
0.001953125,1.3790009360953737,1.3063853380579566
0.00390625,1.379073066586939,1.3063940640311915
0.0078125,1.379218672200818,1.3064659233380929
0.015625,1.3795344953016604,1.3065945565797878
0.03125,1.3800560618756812,1.3067251879103399
0.0625,1.38080863086789,1.3069136309585703
0.125,1.3818959437961646,1.3072203921833787
0.25,1.3836210377896496,1.3078957092737504
0.5,1.3874265536258337,1.309453333927922
1.0,1.394071200415549,1.3131884067705863
2.0,1.4034070348892806,1.3195781604710912
4.0,1.4136916342213275,1.3272038354851838
8.0,1.4212084084904166,1.332830529998554
16.0,1.4244413026169536,1.3351859837756566
32.0,1.426915284307567,1.3370452154217236
64.0,1.428598228666731,1.3383399094759993
128.0,1.4296190332511667,1.3391383484076698
256.0,1.430154864187818,1.3395548725721498
inf,19.96747145575642,19.62843382090617
