0,1,2,function_value
1.0,1.0,1.0,1.956524831893131
1.0,1.0,2.0,3.006821374354266
1.0,1.0,3.0,4.0572537726838265
1.0,2.0,1.0,2.351406532913919
1.0,2.0,2.0,3.400012998403775
1.0,2.0,3.0,4.4507107097424745
1.0,2.0,4.0,5.501113373863718
1.0,3.0,1.0,2.7442764875791057
1.0,3.0,2.0,3.794235929649169
1.0,3.0,3.0,4.844562436112583
1.0,4.0,1.0,3.1380359948592065
1.0,4.0,2.0,4.188184613758897
1.0,4.0,3.0,5.238272305153977
2.0,1.0,1.0,2.617670275567349
2.0,1.0,2.0,3.665679413639051
2.0,1.0,3.0,4.7174612109367144
2.0,1.0,4.0,5.768100191813786
2.0,2.0,1.0,3.011378406837612
2.0,2.0,2.0,4.0618930230656725
2.0,2.0,3.0,5.111291212668602
2.0,2.0,4.0,6.161918938636368
2.0,3.0,1.0,3.404449916907918
2.0,3.0,2.0,4.455321799029837
2.0,3.0,3.0,5.505036282857071
2.0,3.0,4.0,6.5554846814927705
2.0,4.0,1.0,3.7986583564333425
2.0,4.0,2.0,4.8486618957516665
2.0,4.0,3.0,5.899147794476658
2.0,4.0,4.0,6.949198424980829
3.0,1.0,1.0,3.278154989943827
3.0,1.0,2.0,4.328372161426989
3.0,1.0,3.0,5.378587062292925
3.0,1.0,4.0,6.428705981667213
3.0,2.0,1.0,3.671442918795286
3.0,2.0,2.0,4.7232545561820105
3.0,2.0,3.0,5.774031418534854
3.0,2.0,4.0,6.822294066636255
3.0,3.0,1.0,4.064550250270013
3.0,3.0,2.0,5.116591973869002
3.0,3.0,3.0,6.174876900357904
3.0,3.0,4.0,7.216496458174872
3.0,4.0,1.0,4.459136177905279
3.0,4.0,2.0,5.509336575790365
3.0,4.0,3.0,6.560988068563068
3.0,4.0,4.0,7.609342541670757
4.0,1.0,2.0,4.989053289789067
4.0,1.0,3.0,6.0392043095853385
4.0,1.0,4.0,7.089404085975732
4.0,2.0,1.0,4.332561349319602
4.0,2.0,2.0,5.38281835935016
4.0,2.0,3.0,6.432984170355043
4.0,2.0,4.0,7.4830898260015335
4.0,3.0,1.0,4.7262799551014005
4.0,3.0,2.0,5.776109020206839
4.0,3.0,3.0,6.827481240226708
4.0,3.0,4.0,7.87534607381844
4.0,4.0,1.0,5.119936923371539
4.0,4.0,2.0,6.169770226750904
4.0,4.0,3.0,7.220387513213308
4.0,4.0,4.0,8.0
