,0,1,2,function_value
0,1.0,1.0,1.0,1.8486055776897155
1,1.0,1.0,2.0,2.722222222222661
2,1.0,1.0,3.0,3.666666666672045
3,1.0,2.0,1.0,2.61290322580676
4,1.0,2.0,2.0,3.0500000000001153
5,1.0,2.0,3.0,3.677419354828032
6,1.0,2.0,4.0,3.6774193547477636
7,1.0,3.0,1.0,2.6615384615389956
8,1.0,3.0,2.0,3.4672897196257244
9,1.0,3.0,3.0,4.190476190658434
10,1.0,4.0,1.0,2.999999999988008
11,1.0,4.0,2.0,4.000000000012148
12,1.0,4.0,3.0,4.190476189835316
13,2.0,1.0,1.0,2.6390243902439825
14,2.0,1.0,2.0,3.4135090609554304
15,2.0,1.0,3.0,4.3636363636088875
16,2.0,1.0,4.0,4.363636364227714
17,2.0,2.0,1.0,3.04821802935005
18,2.0,2.0,2.0,4.069216757741234
19,2.0,2.0,3.0,5.100418410040961
20,2.0,2.0,4.0,6.534482773387648
21,2.0,3.0,1.0,3.2357414448642126
22,2.0,3.0,2.0,4.474823321554733
23,2.0,3.0,3.0,5.470229007631349
24,2.0,3.0,4.0,6.534482794124519
25,2.0,4.0,1.0,3.44444444514103
26,2.0,4.0,2.0,4.530120481925431
27,2.0,4.0,3.0,5.9397590361455
28,2.0,4.0,4.0,6.6666666499438865
29,3.0,1.0,1.0,2.7999999999948852
30,3.0,1.0,2.0,4.266666666668483
31,3.0,1.0,3.0,5.315789473592299
32,3.0,1.0,4.0,5.7142857142226156
33,3.0,2.0,1.0,3.247999999637305
34,3.0,2.0,2.0,4.773090909062896
35,3.0,2.0,3.0,5.892307692307699
36,3.0,2.0,4.0,6.534482748251122
37,3.0,3.0,1.0,3.4568528106302883
38,3.0,3.0,2.0,5.129654705486171
39,3.0,3.0,3.0,6.363255813959901
40,3.0,3.0,4.0,7.158881920992212
41,3.0,4.0,1.0,3.4568526043771155
42,3.0,4.0,2.0,5.375000000023749
43,3.0,4.0,3.0,6.767605633733068
44,3.0,4.0,4.0,7.158889481162751
45,4.0,1.0,2.0,4.499999990059481
46,4.0,1.0,3.0,5.315789474737032
47,4.0,1.0,4.0,6.000000004246652
48,4.0,2.0,1.0,3.248000002825179
49,4.0,2.0,2.0,5.396397343441813
50,4.0,2.0,3.0,6.673076922397581
51,4.0,2.0,4.0,7.158885480899296
52,4.0,3.0,1.0,4.000000001332833
53,4.0,3.0,2.0,5.396396238318459
54,4.0,3.0,3.0,7.0316622691175334
55,4.0,3.0,4.0,7.158885599706954
56,4.0,4.0,1.0,4.000000001189947
57,4.0,4.0,2.0,5.775280898930119
58,4.0,4.0,3.0,7.158886404628399
59,4.0,4.0,4.0,7.158885424976628
