original row number,rating,soundness,presentation,contribution,updated rating,absolute difference,bias percentile
42095,1.0,4.0,4.0,4.0,8.046,7.046,100.0
12828,8.0,1.0,1.0,1.0,1.892,6.108,100.0
15852,8.0,1.0,2.0,1.0,2.637,5.363,100.0
1924,1.0,3.0,3.0,3.0,6.354,5.354,99.99
25437,1.0,3.0,3.0,3.0,6.354,5.354,99.99
43748,1.0,3.0,3.0,3.0,6.354,5.354,99.99
38975,1.0,3.0,3.0,3.0,6.354,5.354,99.99
46155,1.0,3.0,3.0,3.0,6.354,5.354,99.99
14678,8.0,1.0,1.0,2.0,2.835,5.165,99.98
5198,10.0,3.0,3.0,2.0,5.263,4.737,99.98
43458,8.0,2.0,3.0,1.0,3.274,4.726,99.98
4540,3.0,4.0,2.0,4.0,7.622,4.622,99.98
37325,1.0,2.0,3.0,3.0,5.622,4.622,99.97
27708,8.0,3.0,2.0,1.0,3.387,4.613,99.97
16294,3.0,3.0,4.0,4.0,7.594,4.594,99.97
8025,3.0,3.0,4.0,4.0,7.594,4.594,99.97
15050,8.0,1.0,1.0,3.0,3.406,4.594,99.97
45809,8.0,2.0,1.0,2.0,3.451,4.549,99.96
27704,8.0,2.0,1.0,2.0,3.451,4.549,99.96
39882,8.0,2.0,1.0,2.0,3.451,4.549,99.96
21821,8.0,2.0,1.0,2.0,3.451,4.549,99.96
43275,8.0,3.0,3.0,1.0,3.524,4.476,99.95
33081,8.0,3.0,3.0,1.0,3.524,4.476,99.95
33755,3.0,3.0,3.0,4.0,7.367,4.367,99.95
17957,3.0,3.0,3.0,4.0,7.367,4.367,99.95
7834,3.0,3.0,3.0,4.0,7.367,4.367,99.95
17370,3.0,4.0,4.0,3.0,7.354,4.354,99.94
43903,3.0,4.0,4.0,3.0,7.354,4.354,99.94
38879,1.0,3.0,3.0,2.0,5.263,4.263,99.93
19346,1.0,3.0,3.0,2.0,5.263,4.263,99.93
21692,1.0,3.0,3.0,2.0,5.263,4.263,99.93
25144,1.0,3.0,3.0,2.0,5.263,4.263,99.93
44393,1.0,3.0,3.0,2.0,5.263,4.263,99.93
44236,1.0,3.0,3.0,2.0,5.263,4.263,99.93
24522,1.0,3.0,3.0,2.0,5.263,4.263,99.93
15203,1.0,3.0,3.0,2.0,5.263,4.263,99.93
14558,10.0,3.0,2.0,3.0,5.886,4.114,99.92
39859,6.0,1.0,1.0,1.0,1.892,4.108,99.92
26095,6.0,1.0,1.0,1.0,1.892,4.108,99.92
724,1.0,2.0,2.0,3.0,5.096,4.096,99.91
23609,1.0,2.0,2.0,3.0,5.096,4.096,99.91
40749,1.0,2.0,2.0,3.0,5.096,4.096,99.91
43419,3.0,4.0,3.0,3.0,7.073,4.073,99.9
20908,3.0,4.0,3.0,3.0,7.073,4.073,99.9
29470,3.0,4.0,3.0,3.0,7.073,4.073,99.9
30538,3.0,4.0,3.0,3.0,7.073,4.073,99.9
1616,3.0,4.0,3.0,3.0,7.073,4.073,99.9
26676,3.0,4.0,3.0,3.0,7.073,4.073,99.9
39866,3.0,4.0,3.0,3.0,7.073,4.073,99.9
19310,3.0,4.0,3.0,3.0,7.073,4.073,99.9
45370,8.0,1.0,3.0,3.0,4.0,4.0,99.89
2632,10.0,2.0,2.0,4.0,6.053,3.947,99.89
20350,1.0,3.0,2.0,2.0,4.872,3.872,99.88
7896,1.0,3.0,2.0,2.0,4.872,3.872,99.88
2293,1.0,3.0,2.0,2.0,4.872,3.872,99.88
10893,1.0,3.0,2.0,2.0,4.872,3.872,99.88
45657,1.0,3.0,2.0,2.0,4.872,3.872,99.88
12797,10.0,2.0,4.0,4.0,6.133,3.867,99.88
26169,10.0,2.0,3.0,4.0,6.133,3.867,99.88
2853,8.0,2.0,2.0,2.0,4.14,3.86,99.84
20885,8.0,2.0,2.0,2.0,4.14,3.86,99.84
31523,8.0,2.0,2.0,2.0,4.14,3.86,99.84
22319,8.0,2.0,2.0,2.0,4.14,3.86,99.84
9751,8.0,2.0,2.0,2.0,4.14,3.86,99.84
26035,8.0,2.0,2.0,2.0,4.14,3.86,99.84
25268,8.0,2.0,2.0,2.0,4.14,3.86,99.84
39106,8.0,2.0,2.0,2.0,4.14,3.86,99.84
9611,8.0,2.0,2.0,2.0,4.14,3.86,99.84
38797,8.0,2.0,2.0,2.0,4.14,3.86,99.84
46731,8.0,2.0,2.0,2.0,4.14,3.86,99.84
29524,8.0,2.0,2.0,2.0,4.14,3.86,99.84
15727,8.0,2.0,2.0,2.0,4.14,3.86,99.84
43894,8.0,2.0,2.0,2.0,4.14,3.86,99.84
42009,8.0,2.0,2.0,2.0,4.14,3.86,99.84
11319,8.0,2.0,2.0,2.0,4.14,3.86,99.84
10473,8.0,2.0,2.0,2.0,4.14,3.86,99.84
45690,8.0,2.0,2.0,2.0,4.14,3.86,99.84
28144,8.0,2.0,2.0,2.0,4.14,3.86,99.84
5877,8.0,2.0,2.0,2.0,4.14,3.86,99.84
44519,8.0,2.0,2.0,2.0,4.14,3.86,99.84
