lambda,train_mse,val_mse
0.0,1.3786364030735585,1.3959572246368634
0.001953125,1.378702893622672,1.3959708164983649
0.00390625,1.3788646594413727,1.3960376187775223
0.0078125,1.3791716357433952,1.396241965916501
0.015625,1.3797333887898855,1.3965985438947515
0.03125,1.3807224301159555,1.3970091374861664
0.0625,1.3820964061473002,1.3976505581055247
0.125,1.3840108799593034,1.3987297134157721
0.25,1.3868605070905335,1.4006090346507185
0.5,1.3910317456232002,1.4037061070639922
1.0,1.3965579195595617,1.408147021776146
2.0,1.402698980205372,1.4133342094328962
4.0,1.408519946695276,1.4183837009620237
8.0,1.4137389063728778,1.4229701646064024
16.0,1.4181475471208573,1.4268844981967184
32.0,1.4216792344068407,1.4300594029770215
64.0,1.4241203079306084,1.4322679956044035
128.0,1.4255835781209707,1.4335949898382367
256.0,1.426472154741115,1.4344077260158365
inf,1.4273247669589295,1.4351870546662566
