0,1,2,function_value
1,1,1,0.8720253479966279
1,1,2,1.7452562112920396
1,1,3,2.7169780982310825
1,1,4,4.051748350671894
1,2,1,1.568354616376282
1,2,2,2.1597252760165495
1,2,3,3.144194105290175
1,2,4,4.455656862873759
1,3,1,1.6572040083080457
1,3,2,2.386270493725143
1,3,3,3.5807107040610733
1,3,4,4.912534417662106
1,4,1,1.8529041937699917
1,4,2,2.8960279956168034
1,4,3,4.20578567516503
1,4,4,5.3704435112077675
2,1,1,1.7069187561100638
2,1,2,2.3831911686287404
2,1,3,3.408966232031721
2,1,4,4.832413641384586
2,2,1,2.0522891688572678
2,2,2,3.0640720591327364
2,2,3,3.9629382062535075
2,2,4,5.148352282553449
2,3,1,2.154431701112702
2,3,2,3.4972040991183477
2,3,3,4.629100032459257
2,3,4,5.600916948541498
2,4,1,2.5502228639271016
2,4,2,3.637589664513887
2,4,3,4.779236649314327
2,4,4,6.094241459838312
3,1,1,1.9985763061968111
3,1,2,3.0049253260648063
3,1,3,4.370490291260836
3,1,4,5.66614405534347
3,2,1,2.4096256834751255
3,2,2,3.8105908704680047
3,2,3,5.092722920564963
3,2,4,6.090304351669088
3,3,1,2.6641131708723718
3,3,2,4.239309323480318
3,3,3,5.750447289767905
3,3,4,6.827386838327648
3,4,1,3.1649258722457345
3,4,2,4.395990353432761
3,4,3,6.255588417002816
3,4,4,7.083267158493525
4,1,1,2.850865624509655
4,1,2,3.9809059276279846
4,1,3,5.1303716050343535
4,1,4,6.30700788837246
4,2,1,3.258261903507964
4,2,2,4.364628345956964
4,2,3,5.698540898976379
4,2,4,6.9190863049458144
4,3,1,3.566895918430039
4,3,2,4.794560477123239
4,3,3,6.534991255017036
4,3,4,7.548802879534669
4,4,1,3.998396887998849
4,4,2,5.006074969300167
4,4,3,6.984270667659602
4,4,4,7.695603128418186
