,soundness,presentation,contribution,rating
0,1,1,1,0.9174129353251226
1,1,1,2,1.7757352941359763
2,1,1,3,2.0540540423375346
3,1,1,4,2.0540541479265757
4,1,2,1,1.6461388074204177
5,1,2,2,2.189999999993332
6,1,2,3,2.742267946230171
7,1,2,4,2.742269979738145
8,1,3,1,1.7537313431422838
9,1,3,2,2.334038698119602
10,1,3,3,3.1666666666632843
11,1,3,4,3.599999931928299
12,1,4,1,1.800000029769065
13,1,4,2,2.3340259791838283
14,1,4,3,3.750000036601615
15,1,4,4,3.7500000299551974
16,2,1,1,1.7711738484424968
17,2,1,2,2.3564458140734557
18,2,1,3,3.226277372264081
19,2,1,4,4.250000000211071
20,2,2,1,2.081676517994793
21,2,2,2,3.0689391037920033
22,2,2,3,3.952245594098509
23,2,2,4,4.299999992744661
24,2,3,1,2.1970021415041194
25,2,3,2,3.5118736844838083
26,2,3,3,4.62924901185695
27,2,3,4,5.2972971720149555
28,2,4,1,2.303030228203343
29,2,4,2,3.5118603190379
30,2,4,3,4.6963562752882595
31,2,4,4,5.297297719781314
32,3,1,1,1.859649122159057
33,3,1,2,2.953389915450964
34,3,1,3,4.235294310297663
35,3,1,4,4.714285775072319
36,3,2,1,2.364238435056668
37,3,2,2,3.810530767601308
38,3,2,3,5.099150141639579
39,3,2,4,6.2432432432945335
40,3,3,1,2.552621158593948
41,3,3,2,4.2435369842944075
42,3,3,3,5.753420908594808
43,3,3,4,6.925566343050041
44,3,4,1,2.552771186738131
45,3,4,2,4.395833329069606
46,3,4,3,6.325842696620117
47,3,4,4,7.187675069938374
48,4,1,1,2.0000003144198426
49,4,1,2,2.9533847939165994
50,4,1,3,4.235288018525989
51,4,1,4,4.714285672440273
52,4,2,1,2.3642372903415994
53,4,2,2,4.037037046906147
54,4,2,3,5.727891159931023
55,4,2,4,7.172413793248732
56,4,3,1,2.6499878058715836
57,4,3,2,4.687224672985303
58,4,3,3,6.574222222215451
59,4,3,4,7.5719844357957635
60,4,4,1,2.6500163594974717
61,4,4,2,4.751445080458874
62,4,4,3,7.040793825779853
63,4,4,4,7.71428571426925
