overall,PaperId
3,7030
3,2948
6,2808
5,7726
6,1386
6,8225
8,42
3,7961
6,214
6,658
6,4970
8,891
6,6689
6,2566
6,2582
6,7875
6,1929
6,5722
6,2450
6,3736
5,1072
6,7769
3,4017
5,8454
8,7878
3,7910
6,405
6,3394
5,6167
6,2068
6,7154
8,2721
8,489
3,6007
6,8927
5,3896
5,1399
8,1755
5,2951
8,1106
6,7742
8,4394
5,8064
3,2413
5,1727
6,4456
8,9289
8,8004
3,1686
5,4013
6,427
6,9186
6,7911
3,7243
6,5518
3,2835
5,160
6,5637
3,8711
5,3471
6,230
5,8542
6,639
3,4285
5,7385
3,5085
5,6313
5,5885
5,8409
5,7272
5,9261
8,8769
5,3117
6,8667
6,2736
3,6901
5,6819
6,7955
3,6491
1,9255
6,9438
5,4544
8,2973
5,7478
6,8802
3,9243
6,1129
6,1019
6,5345
5,464
3,6226
6,8964
5,4813
5,3055
3,3026
6,6435
6,8358
6,1736
5,5803
5,4859
6,8808
5,5248
5,7109
8,5527
8,6959
3,5282
1,7466
8,8015
6,4148
3,1905
5,7181
3,8164
8,5144
6,805
1,6997
3,378
5,7967
1,8179
6,5218
6,8869
6,458
6,5426
8,1380
6,773
6,2194
5,7361
5,3153
3,6721
6,7393
6,4681
5,2102
6,8670
3,2663
6,4653
3,4983
5,1199
6,8725
3,7930
5,234
5,7480
6,4750
8,2603
1,3476
6,4712
6,7293
3,1750
3,743
5,3938
6,1674
5,5672
6,6513
5,1037
1,6089
3,323
3,8792
6,1031
5,531
6,7595
3,4687
6,8285
8,7782
3,7225
3,893
3,2102
6,6071
6,3242
6,8423
5,1845
5,2466
5,7765
6,4485
3,3630
3,5930
6,4346
3,220
6,7101
8,2934
3,409
3,9299
5,5013
3,9333
3,4909
6,6311
5,3081
5,7262
3,3809
5,4120
5,7003
3,6926
6,8914
6,4317
8,2952
6,2914
3,1210
8,4687
8,2809
6,5347
3,3594
6,4925
8,5847
8,6211
8,3483
5,8212
5,7532
3,588
3,6452
1,7761
5,1335
5,1841
3,574
6,2840
6,3346
3,5164
3,9140
5,265
3,5508
1,5328
5,3216
6,813
6,6831
5,7683
6,1183
6,5032
5,783
6,7129
1,1856
8,5423
3,5705
5,4651
5,3684
10,6795
5,3942
3,4200
6,6496
8,6410
3,2735
5,5007
3,7844
1,2394
6,8017
5,815
3,8473
5,6975
5,6389
