overall,soundness,presentation,contribution,PaperId
6,3,3,3,1152
6,4,4,3,1152
6,4,4,3,1153
5,3,2,2,1152
6,3,3,2,1153
6,4,3,3,1153
6,2,2,3,1153
6,3,3,3,1206
3,2,2,2,1172
8,3,3,3,1206
5,3,1,2,1172
5,3,3,2,1172
5,2,4,3,1246
5,2,2,2,1246
3,2,2,2,1172
8,3,3,3,1206
10,4,4,4,1206
5,2,2,3,1246
3,2,2,2,1246
6,3,4,4,1261
8,4,4,3,1261
5,1,3,2,1261
5,3,4,2,1261
5,3,2,3,1068
5,3,2,3,1068
5,2,2,2,1068
5,3,2,2,1068
5,1,3,3,129
6,3,3,3,129
6,3,2,3,129
5,3,4,2,1323
3,2,1,1,1355
5,3,1,2,1355
5,2,3,2,1323
5,2,2,2,1323
5,3,2,3,1323
3,2,2,1,1355
6,3,3,3,1337
5,2,2,2,1337
5,3,2,2,1337
3,1,1,2,1337
8,3,3,4,1362
8,3,2,3,1362
5,3,3,3,1393
3,3,1,2,1362
3,1,1,2,1393
3,1,2,1,1393
3,2,2,2,1393
8,3,3,3,1362
3,1,3,2,108
5,2,2,3,108
6,2,2,3,1066
5,3,3,2,1066
3,3,3,2,108
5,3,3,2,1066
5,2,3,3,108
6,4,4,4,1066
5,2,3,2,140
8,4,3,3,140
6,2,3,3,138
8,3,2,3,138
5,3,2,3,140
5,3,3,2,140
6,3,3,3,138
6,2,3,2,138
6,3,3,3,1422
6,3,3,3,1342
5,3,3,2,1342
5,3,3,2,1422
5,3,3,2,1422
5,3,2,3,1422
6,3,3,2,1342
6,3,2,3,1342
8,3,3,3,1342
5,3,3,2,1466
8,4,4,4,1466
3,2,3,2,1466
5,3,1,2,1466
6,3,2,3,108
3,2,2,2,1510
6,3,3,3,1510
3,2,2,2,1523
3,2,2,2,1523
6,3,4,3,1523
8,4,4,3,1510
5,2,2,2,1523
3,2,2,2,1510
5,3,3,2,1521
8,3,4,3,1521
3,2,3,2,1521
6,3,3,3,1527
3,3,3,2,1521
6,2,3,3,1527
8,3,3,3,1527
5,2,3,3,156
6,3,3,3,1557
8,3,2,4,156
5,2,2,2,156
6,2,3,3,1557
5,2,2,2,1557
6,2,2,2,1557
6,4,3,3,156
6,2,2,2,1556
6,3,3,2,1556
6,3,4,3,1556
6,3,3,3,1556
3,2,1,1,1453
6,2,2,2,1453
6,3,3,3,1453
5,2,2,3,1453
8,3,3,3,1606
8,3,1,4,1606
