lambda,train_mse,val_mse
0.0,0.9263764799638416,0.9175355961763212
0.001953125,0.9264449796270717,0.9175662601323388
0.00390625,0.9265469426857325,0.9176345364708581
0.0078125,0.926780849578478,0.9177273236984579
0.015625,0.9271208557899621,0.9177434584811762
0.03125,0.9276578346067192,0.9179074279604196
0.0625,0.9283420092794284,0.9181811265411421
0.125,0.9292577558467722,0.9187255572957317
0.25,0.9306175868657212,0.9198731068839763
0.5,0.9328635145611778,0.9221588565361354
1.0,0.9366168508622299,0.9262643150220944
2.0,0.9424016237750149,0.932659916447896
4.0,0.9500106797386674,0.9409301828495813
8.0,0.958391286367071,0.9498485720051517
