0,1,2,function_value
1.0,1.0,1.0,1.0
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.4163053650509894
2.0,1.0,1.0,1.1400381730379974
2.0,1.0,2.0,1.9834098770491042
2.0,2.0,1.0,1.6885587513575309
2.0,2.0,2.0,2.864593795029411
2.0,2.0,3.0,3.885425929501785
2.0,3.0,2.0,3.27360826519104
2.0,3.0,3.0,4.560548757476458
3.0,2.0,2.0,4.150688426025197
3.0,2.0,3.0,5.114237217878023
3.0,2.0,4.0,6.128771663697717
3.0,3.0,2.0,4.850804692656581
3.0,3.0,3.0,5.716760704230971
3.0,3.0,4.0,6.937474377840816
3.0,4.0,3.0,6.66889519892847
3.0,4.0,4.0,7.505428532141605
4.0,3.0,3.0,7.705404804452447
4.0,3.0,4.0,8.041770977107907
4.0,4.0,3.0,7.955502161044887
4.0,4.0,4.0,8.43438580662888
