,0,1,2,function_value
0,1,1,1,1.7698113209318684
1,1,1,2,2.7383720932792492
2,1,1,3,3.0000000119126162
3,1,1,4,3.0000000099783892
4,1,2,1,2.4800000000157842
5,1,2,2,3.046082949316529
6,1,2,3,3.379310345569641
7,1,2,4,3.3793103474850135
8,1,3,1,2.746478869380655
9,1,3,2,3.545454544647193
10,1,3,3,3.933332099712691
11,1,4,1,2.7464788893974172
12,1,4,2,3.933335880184198
13,1,4,3,3.933334198265191
14,2,1,1,2.627358490955594
15,2,1,2,3.2671641792215396
16,2,1,3,4.44318180493781
17,2,1,4,4.4431817938982725
18,2,2,1,2.81636363643647
19,2,2,2,3.3169894245348557
20,2,2,3,4.994402985128095
21,2,2,4,6.3600001306759
22,2,3,1,3.2992700729841844
23,2,3,2,4.100723953413464
24,2,3,3,5.42291950890754
25,2,3,4,6.359999988840555
26,2,4,1,3.545454541239845
27,2,4,2,4.432098763903565
28,2,4,3,5.84415584324624
29,2,4,4,6.359999866169038
30,3,1,1,2.7222222286957303
31,3,1,2,4.221476577988984
32,3,1,3,5.195173207367169
33,3,1,4,5.333333090245742
34,3,2,1,3.303571429392046
35,3,2,2,4.539867948884389
36,3,2,3,5.428465529550654
37,3,2,4,6.487179488897475
38,3,3,1,3.4120879124429266
39,3,3,2,5.054034582506452
40,3,3,3,5.902825734622981
41,3,3,4,7.376899696125135
42,3,4,1,3.714285717293757
43,3,4,2,5.322222222174274
44,3,4,3,6.863281249980755
45,3,4,4,7.727941176384402
46,4,1,2,5.194689703661943
47,4,1,3,5.194868222693849
48,4,1,4,6.000007452619025
49,4,2,1,3.6666659985716725
50,4,2,2,5.460351764237536
51,4,2,3,6.53846150077025
52,4,2,4,7.285714281279059
53,4,3,1,3.6666653686309103
54,4,3,2,5.459938428399952
55,4,3,3,7.60175578738275
56,4,3,4,7.9812938426038444
57,4,4,1,3.7142857118737926
58,4,4,2,5.793478277722107
59,4,4,3,7.629726206023863
60,4,4,4,8.217345872537122
