0,1,2,function_value
1,1,1,1.80222938657089
1,1,2,2.8956565858296317
1,1,3,4.024107395447914
1,2,1,2.2738999440999206
1,2,2,3.302550182524642
1,2,3,4.423868273890331
1,2,4,5.5488447697783325
1,3,1,2.628424250601416
1,3,2,3.7272052057562686
1,3,3,4.838717906246085
1,4,1,3.0331193944473074
1,4,2,4.144166393525448
1,4,3,5.2534598111087645
2,1,1,2.5098783218140666
2,1,2,3.5455096991328787
2,1,3,4.681882933100914
2,1,4,5.814463930556793
2,2,1,2.9318403796713697
2,2,2,4.045770984381454
2,2,3,5.105090482808569
2,2,4,6.230578004802712
2,3,1,3.288821106926807
2,3,2,4.44652925725836
2,3,3,5.529333188246398
2,3,4,6.636574770472276
2,4,1,3.712533445617772
2,4,2,4.799848937907911
2,4,3,5.9344415739737935
2,4,4,7.047670629100142
3,1,1,3.1517562046055554
3,1,2,4.273741291913436
3,1,3,5.383492687339855
3,1,4,6.493017431535323
3,2,1,3.541448133075256
3,2,2,4.71693644554929
3,2,3,5.834904543388313
3,2,4,6.883389967317322
3,3,1,3.914158941299256
3,3,2,5.113202466704757
3,3,3,6.312605159020325
3,3,4,7.337116715623222
3,4,1,4.378942509693626
3,4,2,5.485086711856366
3,4,3,6.670935131631416
3,4,4,7.720687248794475
4,1,2,4.9463761475048384
4,1,3,6.051304495882258
4,1,4,7.169922894644621
4,2,1,4.2454751497294
4,2,2,5.363119680659987
4,2,3,6.470101574697836
4,2,4,7.57685623836669
4,3,1,4.6539831571701225
4,3,2,5.749164270664247
4,3,3,6.909287668336066
4,3,4,7.9703921738683485
4,4,1,5.0647711119763805
4,4,2,6.167116316732824
4,4,3,7.283470323217069
4,4,4,8.348487471822043
