lambda,train_mse,val_mse
0.0,1.2313142737933533,1.285658531237245
0.001953125,1.2313586709188813,1.2854567707875526
0.00390625,1.2314582809475898,1.2852918943236333
0.0078125,1.231650309506196,1.2851626984270021
0.015625,1.2319867744530042,1.2850285514541486
0.03125,1.232572763979475,1.2850229681616405
0.0625,1.2336712566255104,1.285172624849243
0.125,1.2352180223361982,1.2856638514241052
0.25,1.2371527325402365,1.2866022403401864
0.5,1.2396545038511226,1.2880720916709858
1.0,1.2427879465242002,1.2901895321794739
2.0,1.246206354822562,1.2927861951287658
4.0,1.249403855103884,1.2954695785830468
8.0,1.2519851805428568,1.297864531794116
16.0,1.2538893703276124,1.2997612234233729
32.0,1.25525821468316,1.3012118963261345
64.0,1.2560968374167978,1.302119657794118
128.0,1.2565322863441115,1.302595380555557
256.0,1.2567933526892567,1.302885401467245
inf,1.257060801264156,1.3031828655740514
