0,1,2,function_value
1,1,1,1.7665950509721375
1,1,2,2.706819739996428
1,1,3,3.3048683416149904
1,2,1,2.5657665607386533
1,2,2,3.088217570353223
1,2,3,3.578167686248296
1,2,4,4.801389346163656
1,3,1,2.6078836429285306
1,3,2,3.549149305434249
1,3,3,4.203178560852415
1,4,1,2.6078848726921198
1,4,2,3.549150370571334
1,4,3,4.252103498231089
2,1,1,2.6884832635459857
2,1,2,3.4212770386884324
2,1,3,4.339171669201839
2,1,4,5.046832113885452
2,2,1,3.0490177785572494
2,2,2,4.0670996764988905
2,2,3,5.068254598543231
2,2,4,6.333054765436342
2,3,1,3.206234681961591
2,3,2,4.462923825080834
2,3,3,5.533598674586098
2,3,4,6.451475003878431
2,4,1,3.462520673644126
2,4,2,4.462767867703081
2,4,3,5.882068651789589
2,4,4,6.867663618196973
3,1,1,2.6884822187952997
3,1,2,4.287617395798155
3,1,3,5.302017993035397
3,1,4,6.14593500414738
3,2,1,3.210900063379254
3,2,2,4.756329264945031
3,2,3,5.891235240431444
3,2,4,6.333054437684824
3,3,1,3.3839893175852076
3,3,2,5.1239027447558225
3,3,3,6.350632879296758
3,3,4,7.467882228669192
3,4,1,3.462520387801388
3,4,2,5.386570957109329
3,4,3,6.790665347217139
3,4,4,7.660558848000687
4,1,2,4.607827980539245
4,1,3,5.302017260038131
4,1,4,6.784849916149374
4,2,1,3.9099449615539905
4,2,2,5.496540143403576
4,2,3,6.465507446441923
4,2,4,7.290184569918162
4,3,1,4.174815116242451
4,3,2,5.496540655309736
4,3,3,7.015377347853496
4,3,4,7.848908717729577
4,4,1,4.637969188806014
4,4,2,5.970854668286368
4,4,3,7.256948539308578
4,4,4,8.096051211810385
