,0,1,2,function_value
0,1,1,1,1.756321628622577
1,1,1,2,2.7164033575502056
2,1,1,3,3.6080174206318594
3,1,2,1,2.5574501082113166
4,1,2,2,3.108638442999788
5,1,2,3,3.686342892951961
6,1,2,4,5.077492027256895
7,1,3,1,2.6943562206569784
8,1,3,2,3.5615230823641593
9,1,3,3,4.218780305550961
10,1,4,1,2.7454178203677104
11,1,4,2,3.626951515943769
12,1,4,3,4.588771297365101
13,2,1,1,2.686431913603699
14,2,1,2,3.4374236600700687
15,2,1,3,4.40086268574769
16,2,1,4,5.237641715684205
17,2,2,1,3.0674008717220564
18,2,2,2,4.076721705593935
19,2,2,3,5.10454744484519
20,2,2,4,6.3050587296440925
21,2,3,1,3.2401708909929257
22,2,3,2,4.464720478112815
23,2,3,3,5.513337480510705
24,2,3,4,6.354894101577557
25,2,4,1,3.567000525252702
26,2,4,2,4.464146490738482
27,2,4,3,5.836407025363171
28,2,4,4,6.544273434828496
29,3,1,1,2.860073038134205
30,3,1,2,4.322735166409951
31,3,1,3,5.275476108708093
32,3,1,4,6.260431428274455
33,3,2,1,3.2656486154746385
34,3,2,2,4.7557548449208396
35,3,2,3,5.8774158407970765
36,3,2,4,6.3501965577251935
37,3,3,1,3.4184321075652795
38,3,3,2,5.124854488097334
39,3,3,3,6.354680638181311
40,3,3,4,7.397748568699755
41,3,4,1,3.807317336500968
42,3,4,2,5.335029376992156
43,3,4,3,6.77116205349122
44,3,4,4,7.6626469758120725
45,4,1,2,4.851754631308227
46,4,1,3,5.275412674928299
47,4,1,4,6.916147097796551
48,4,2,1,4.1548612236291245
49,4,2,2,5.437373089339417
50,4,2,3,6.497722846538494
51,4,2,4,7.2986098360819085
52,4,3,1,4.261435221015533
53,4,3,2,5.437352943328633
54,4,3,3,7.016011757055665
55,4,3,4,7.877892518334928
56,4,4,1,4.691170130875734
57,4,4,2,5.921565524797488
58,4,4,3,7.23489232780912
59,4,4,4,8.104508363425484
