lambda,train_mse,val_mse
0.0,1.1417772533910213,1.1389470897691545
0.001953125,1.1418438296609847,1.1390458167895674
0.00390625,1.1419150751495324,1.1391025041809202
0.0078125,1.1420452396693783,1.1391877881223418
0.015625,1.142214764588665,1.1393340651131139
0.03125,1.1424515095831664,1.139576748790233
0.0625,1.1427982024285308,1.1399563729028186
0.125,1.1433232635469583,1.1405153329212603
0.25,1.1440535598572288,1.1413212625769054
0.5,1.1451074739589941,1.142543036741925
1.0,1.1468135799538204,1.1445787255582154
2.0,1.149453748154822,1.147714672100849
4.0,1.1528116747369639,1.1516477583847644
8.0,1.1560262079654497,1.1553768344355901
16.0,1.1584912525448663,1.1582090723559548
32.0,1.160034679229159,1.1599911254639867
64.0,1.160948055401079,1.161029394073492
128.0,1.1613805663120698,1.1615151667062482
256.0,1.1616177868187556,1.1617867658742895
inf,1.1618559841552292,1.1620858159199632
