0,1,2,function_value
1.0,2.0,1.0,1.0
1.0,2.0,2.0,1.0
2.0,2.0,1.0,1.0
2.0,2.0,2.0,1.6856236489298264
2.0,2.0,3.0,2.502749093470535
2.0,3.0,2.0,2.2917193765457813
2.0,3.0,3.0,2.702804937497409
2.0,4.0,2.0,2.2917272287993815
2.0,4.0,3.0,2.702798246280998
3.0,2.0,2.0,2.9187343373093797
3.0,2.0,3.0,3.0680651340910075
3.0,2.0,4.0,3.903855701250723
3.0,3.0,2.0,2.9428711052622445
3.0,3.0,3.0,3.8736151095493154
3.0,3.0,4.0,5.57438404754367
3.0,4.0,2.0,2.942780657816306
3.0,4.0,3.0,4.588341000224452
3.0,4.0,4.0,5.598747402107893
3.5,3.8,3.6,5.695308679737984
3.5,4.0,3.5,5.691107586431248
4.0,3.0,4.0,6.107687882097015
4.0,4.0,3.0,5.647685609370414
4.0,4.0,4.0,6.972496104266267
