,0,1,2,function_value
0,1.0,2.0,1.0,1.0000000011007069
1,1.0,2.0,2.0,1.0000000014886625
2,2.0,2.0,1.0,1.0000000012762382
3,2.0,2.0,2.0,1.6737967920015913
4,2.0,2.0,3.0,2.47368420960228
5,2.0,3.0,2.0,2.256281412420082
6,2.0,3.0,3.0,2.604938254572737
7,2.0,4.0,2.0,2.2562803199715
8,2.0,4.0,3.0,2.6049389834748062
9,3.0,2.0,2.0,2.919995273035696
10,3.0,2.0,3.0,2.9200008925389356
11,3.0,2.0,4.0,2.9999999795790604
12,3.0,3.0,2.0,2.9464286025070723
13,3.0,3.0,3.0,3.8477967018067916
14,3.0,3.0,4.0,5.544000000005745
15,3.0,4.0,2.0,2.9464283604665353
16,3.0,4.0,3.0,4.579527349968323
17,3.0,4.0,4.0,5.59108585103214
18,3.5,3.8,3.6,6.000000000311517
19,3.5,4.0,3.5,6.000000000315411
20,4.0,3.0,3.0,5.000000000538304
21,4.0,3.0,4.0,6.444444444462865
22,4.0,4.0,3.0,5.633540372673604
23,4.0,4.0,4.0,6.985868661679365
