lambda,train_mse,val_mse
0.0,0.889478924560688,0.8092154083040549
0.001953125,0.8894794525987895,0.8089927847138527
0.00390625,0.8894808588288327,0.808775805385192
0.0078125,0.8894865240951526,0.8083542671074974
0.015625,0.8895071679090251,0.8075697967913538
0.03125,0.8895795100474359,0.8062025216548728
0.0625,0.8899368743900391,0.8032733621525424
0.125,0.8910649123549597,0.7980071093186337
0.25,0.8935966781119359,0.7908434124668008
0.5,0.8993143079634854,0.783526461634267
1.0,0.9070270810078949,0.7785354997248979
2.0,0.9137710168875478,0.7757395220279256
4.0,0.9190310445453236,0.7745218115733128
8.0,0.9227950189157728,0.7742770869512177
16.0,0.9252646754944488,0.7744456728914969
32.0,0.9267470802516197,0.7746969943230819
64.0,0.9275801819232652,0.7748682161883509
128.0,0.9280236268881581,0.7749782295111718
256.0,0.9282374485389872,0.7750317750842733
inf,0.9284851628351047,0.7751054188738381
