,0,1,function_value
0,1,1,1.2467621883863458
1,1,2,1.6391051627753712
2,1,3,2.0366924644845086
3,1,4,2.3706593608961373
4,1,5,2.7350634587989573
5,1,6,3.066770448262284
6,1,7,3.453214253184943
7,2,1,1.840154246255948
8,2,2,2.2067895561049125
9,2,3,2.578874004408443
10,2,4,2.9456709037327116
11,2,5,3.299931978280058
12,2,6,3.659127679605909
13,2,7,4.015994356218883
14,3,1,2.474300234215957
15,3,2,2.81263769548452
16,3,3,3.13605560725342
17,3,4,3.5371321309476853
18,3,5,3.8673134792668638
19,3,6,4.230574997702135
20,3,7,4.590781468076221
21,4,1,3.030715942374942
22,4,2,3.3992199809461123
23,4,3,3.7544559279104632
24,4,4,4.101726387990075
25,4,5,4.46713369803737
26,4,6,4.828309866317969
27,4,7,5.195270189710717
28,5,1,3.625020710566502
29,5,2,3.970119617768663
30,5,3,4.3346800261595755
31,5,4,4.692283911509036
32,5,5,5.055238590705685
33,5,6,5.403416978023957
34,5,7,5.754305928493787
35,6,1,4.196138307704949
36,6,2,4.561025247618079
37,6,3,4.907818705021866
38,6,4,5.2737105938180715
39,6,5,5.650693823211007
40,6,6,5.988398115635746
41,6,7,6.331015475118853
42,7,1,4.769126676428283
43,7,2,5.129774240634465
44,7,3,5.497476586064109
45,7,4,5.854437389919503
46,7,5,6.213913007498782
47,7,6,6.538128431375792
48,7,7,6.874515616523883
