x0,x1,boot_0000,boot_0001,boot_0002
1,1,1.0,1.0,1.0
1,3,,1.2446607122002111,1.2928742353008897
1,4,1.0000726009225234,1.2446596866383368,
1,7,1.0000736027050787,1.4036958190146918,1.2928742669342925
2,1,1.0000003801738355,1.1391776263129703,1.2256327949310313
2,2,1.8571478463176232,1.702401262228038,1.5306302832492609
2,3,1.8571410021265367,1.7023539630785034,1.5306301489307306
2,5,1.8571369289540953,1.702325409722906,1.5306300464951355
2,7,2.999828544043989,,2.9664266269480155
3,1,1.0000003640645454,1.3644692703166073,1.2256329141273834
3,2,2.8333345040369515,2.67274112501296,2.4513620824851476
3,3,2.9999890139876997,3.033119298808717,2.4513633617866053
3,4,2.9999886636142152,3.0331085849930584,2.4513646006607837
3,5,3.0000040072706127,3.0555926153854562,3.0004546765131974
4,2,2.8333338240958996,2.672744791365708,2.451361635753481
4,4,,,3.120995766273763
4,5,3.999997597673394,3.9194843985883576,
5,2,3.111113468599514,3.03310410607707,3.5680923018904394
5,3,3.1111124835703867,3.0331033556976896,3.568091990479461
5,4,5.00000886915445,4.564302466627492,4.755791959950111
5,5,5.749998395825944,5.261635812581077,4.81265459871442
5,6,5.888895753451978,5.664351653707134,5.66697789388865
6,2,3.800002790596768,,4.466927023285267
6,3,3.9999332194100488,,4.466927468244902
6,4,5.666644486630978,,4.8610302336044
6,5,,5.261624624021056,4.861030463851592
6,6,5.888895652872578,6.0452563626550395,6.23676347317354
6,7,5.888895194704483,6.045249488166049,6.236764061163268
7,3,4.0000680527144254,4.569348845187614,4.466927889546499
7,4,5.6666446092112475,5.266218537084859,
7,6,6.0000103426838525,6.342831316284709,6.236763003238933
7,7,6.5714276640960065,6.342828148935405,6.5083068178530485
