lambda,train_mse,val_mse
0.0,0.8408622007668468,0.96415519802262
0.001953125,0.8408629455240494,0.9642352740641997
0.00390625,0.840865178337639,0.9643142884608017
0.0078125,0.8408734428448172,0.9644691887586369
0.015625,0.8409060709055822,0.9647652758341912
0.03125,0.8410122365358813,0.9653069348890498
0.0625,0.8413757760065058,0.9664288211937792
0.125,0.842668870648421,0.9697268945253869
0.25,0.8455680412883924,0.9738053461440729
0.5,0.8515583869438238,0.9786079792739002
1.0,0.8617797239439812,0.9841838231713056
2.0,0.8737993288255187,0.9883350311226025
4.0,0.8825556803128914,0.9917545262592972
8.0,0.8882761286670291,0.9941413902624466
16.0,0.8916708792501321,0.9956101046931226
32.0,0.893580199741171,0.9964562625837801
64.0,0.8945908197533856,0.996905614494139
128.0,0.895120372845941,0.9971410877887881
256.0,0.8953805408098083,0.9972598074460971
inf,0.8956509091998756,0.9973806112057536
