,0,1,function_value
0,1,1,1.241379311441251
1,1,2,1.3333332499511585
2,1,3,2.8780421474360094
3,1,4,2.878033974472503
4,1,5,3.558825745798818
5,1,6,3.5588264913411796
6,1,7,5.000011597039141
7,2,1,1.5000016666029539
8,2,2,2.051724503330584
9,2,3,2.878054294614663
10,2,4,3.5588179081461147
11,2,5,3.558823712529447
12,2,6,3.5588276210747325
13,2,7,4.999999357688844
14,3,1,2.983612446006079
15,3,2,2.98359713980347
16,3,3,2.9836095938718463
17,3,4,3.6274505964488233
18,3,5,3.9230775331496326
19,3,6,3.92307368177393
20,3,7,4.999987500324811
21,4,1,3.083337325537979
22,4,2,3.829784363053667
23,4,3,3.8297882399967436
24,4,4,4.081395352880389
25,4,5,4.594936700951638
26,4,6,4.750000042077539
27,4,7,5.7878812088002025
28,5,1,3.7142856831304822
29,5,2,3.952380908006669
30,5,3,4.566666675392263
31,5,4,4.683453238040607
32,5,5,5.08290155438399
33,5,6,5.4634146251912785
34,5,7,5.787877830263991
35,6,1,4.464283577979024
36,6,2,4.850000787295953
37,6,3,4.878787873551759
38,6,4,5.37179487146188
39,6,5,5.682758623291049
40,6,6,5.9905213252997385
41,6,7,6.293103432212881
42,7,1,4.464286482175372
43,7,2,4.849999187891732
44,7,3,5.923076970237733
45,7,4,5.937500023641837
46,7,5,6.442857252666727
47,7,6,6.442857063629027
48,7,7,6.822727270570124
