lambda,train_mse,val_mse
0.0,0.73581416518927,0.7190631456104781
0.001953125,0.7358142573560799,0.7188669351677971
0.00390625,0.735816299900319,0.7186850191967851
0.0078125,0.7358221040215207,0.7183241033245029
0.015625,0.73584298404312,0.7176545567117109
0.03125,0.7359478396016251,0.7160363712887472
0.0625,0.7363573733288544,0.7132110371159016
0.125,0.7377387408162408,0.7091726880865179
0.25,0.7404446244318509,0.7062795369606303
0.5,0.7454298766367075,0.7025219991870613
1.0,0.7520812117497978,0.7031172217544216
2.0,0.7625804104400914,0.705729270502606
4.0,0.7731415472659677,0.7059764001635566
8.0,0.7816865010482318,0.7055622463884754
16.0,0.7871753772894982,0.705604387775126
32.0,0.7903787114708634,0.7057358893928597
64.0,0.7921308771362191,0.7058399538948072
128.0,0.7930386202656586,0.7059038909342834
256.0,0.7935173886996985,0.7059409746874477
inf,0.7939966102041031,0.7091265473649194
