,0,1,function_value
0,1,1,1.0273957864739964
1,1,2,1.3257123358416067
2,1,3,1.8170284745757985
3,1,4,1.8514624409857834
4,1,5,2.2157888513494224
5,1,6,2.215782242248855
6,1,7,2.2157757312268274
7,2,1,1.511727730943723
8,2,2,1.9909057566075672
9,2,3,2.3583045986371935
10,2,4,2.3583012256679083
11,2,5,2.805735044515719
12,3,1,2.1784807807195024
13,3,2,2.750363416640046
14,3,3,3.0221158004479625
15,3,4,3.4839192190756503
16,3,5,3.483918525551288
17,3,6,3.6403876114873057
18,3,7,3.909627827446506
19,4,1,2.9475136603653618
20,4,2,3.3233813702971693
21,4,3,3.584022234909071
22,4,4,4.011984090121414
23,4,5,4.287344991390951
24,4,6,4.287340877502086
25,4,7,4.856674445046156
26,5,1,4.026267548824247
27,5,2,4.0262628059256675
28,5,3,4.026258324683365
29,5,4,4.77722922250108
30,5,5,4.9408712315888605
31,5,6,5.235420222276118
32,5,7,5.4999783673128855
33,6,1,4.513150297404283
34,6,2,4.513147634411129
35,6,3,5.019303604013568
36,6,4,5.309550735060544
37,6,5,5.733648605180534
38,6,6,5.938259711643491
39,6,7,6.27162818800033
40,7,1,5.319913185375147
41,7,2,5.320535683997938
42,7,3,6.008351563389516
43,7,4,6.0083457403420555
44,7,5,6.008339632294758
45,7,6,6.4925345135956425
46,7,7,6.748915685043127
