lambda,train_mse,val_mse
0.0,1.2926655534820215,1.267983490254833
0.001953125,1.292689273800921,1.2680761541116452
0.00390625,1.2927416806325973,1.2682023961606008
0.0078125,1.2928720511139398,1.2685087017564776
0.015625,1.2931137998692002,1.2689555194237692
0.03125,1.2935110264408882,1.2695564753235542
0.0625,1.29414272223533,1.2702830024811256
0.125,1.295130817743381,1.2711709263579185
0.25,1.2965799989014124,1.272457851462583
0.5,1.2987189441314668,1.2743894876130781
1.0,1.3015821739963183,1.2770472195543023
2.0,1.3048203895099544,1.2801338037646812
4.0,1.3078878396704425,1.2831245270598755
8.0,1.310334715669789,1.285549250039349
16.0,1.3120826205485137,1.287298761515908
32.0,1.3131783308709237,1.2884055379723538
64.0,1.313826304858179,1.2890606929427337
128.0,1.3141711948085304,1.2894095871323723
256.0,1.3143343446370126,1.2895789924718146
inf,1.3145553850884306,1.2897988297074479
