,soundness,presentation,contribution,rating
0,1.0,1.0,1.0,1.8922800717988975
1,1.0,1.0,2.0,2.835365849839283
2,1.0,1.0,3.0,3.4062967698280184
3,1.0,2.0,1.0,2.6374999999831106
4,1.0,2.0,2.0,3.118942732408107
5,1.0,2.0,3.0,3.4062302777825986
6,1.0,3.0,1.0,2.824324324188558
7,1.0,3.0,2.0,3.3593073592057863
8,1.0,3.0,3.0,4.000000085606688
9,1.0,4.0,1.0,3.222222191199932
10,1.0,4.0,2.0,3.5555555563306456
11,1.0,4.0,3.0,3.9999996062498675
12,2.0,1.0,1.0,2.631808278858485
13,2.0,1.0,2.0,3.450660450656178
14,2.0,1.0,3.0,4.403314910306889
15,2.0,1.0,4.0,4.4285714266269105
16,2.0,2.0,1.0,3.0474452554796465
17,2.0,2.0,2.0,4.139907072792153
18,2.0,2.0,3.0,5.096023278868662
19,2.0,2.0,4.0,6.052631595325718
20,2.0,3.0,1.0,3.273789164201764
21,2.0,3.0,2.0,4.530704335884476
22,2.0,3.0,3.0,5.6215142234724205
23,2.0,3.0,4.0,6.133321911050948
24,2.0,4.0,1.0,3.2738037390425823
25,2.0,4.0,2.0,4.6666666653214515
26,2.0,4.0,3.0,5.621511057981347
27,2.0,4.0,4.0,6.13336002241475
28,3.0,1.0,1.0,3.102564102520895
29,3.0,1.0,2.0,4.215116309025398
30,3.0,1.0,3.0,5.084415584366202
31,3.0,1.0,4.0,5.83333333190542
32,3.0,2.0,1.0,3.3867924528543387
33,3.0,2.0,2.0,4.872235061074952
34,3.0,2.0,3.0,5.886290322578518
35,3.0,2.0,4.0,6.793814432880173
36,3.0,3.0,1.0,3.5242424242840182
37,3.0,3.0,2.0,5.2625455808305235
38,3.0,3.0,3.0,6.354159514817665
39,3.0,3.0,4.0,7.3667425975262075
40,3.0,4.0,1.0,3.8055555484998864
41,3.0,4.0,2.0,5.493303571437372
42,3.0,4.0,3.0,6.8028442146119925
43,3.0,4.0,4.0,7.593869728894277
44,4.0,1.0,2.0,4.215114553136915
45,4.0,1.0,3.0,6.222222232458578
46,4.0,1.0,4.0,6.222222237333456
47,4.0,2.0,1.0,3.4285714290385494
48,4.0,2.0,2.0,5.028571431533988
49,4.0,2.0,3.0,6.5275590551020475
50,4.0,2.0,4.0,7.621621621496299
51,4.0,3.0,1.0,3.866666666939696
52,4.0,3.0,2.0,5.505882352948335
53,4.0,3.0,3.0,7.072792362767682
54,4.0,3.0,4.0,7.825825825816279
55,4.0,4.0,1.0,4.000000000402907
56,4.0,4.0,2.0,5.7295081967459005
57,4.0,4.0,3.0,7.35362694300506
58,4.0,4.0,4.0,8.04562737642114
