0,1,2,function_value
1,1,1,0.916387200626536
1,1,2,1.7488794849757034
1,1,3,2.0764827025980743
1,1,4,3.395649810223489
1,2,1,1.646801352965163
1,2,2,2.1584851659960225
1,2,3,2.850473629172307
1,2,4,3.6174229935152757
1,3,1,1.7773579398963237
1,3,2,2.318204335903901
1,3,3,3.182246151614011
1,3,4,4.27704385292048
1,4,1,1.8749117923822372
1,4,2,2.3655834577033756
1,4,3,4.024290510744659
1,4,4,4.786908175017469
2,1,1,1.783056920890208
2,1,2,2.3741600647147334
2,1,3,3.267121211508081
2,1,4,4.423217650830792
2,2,1,2.073774825338933
2,2,2,3.0656475509258074
2,2,3,3.9493989420431355
2,2,4,4.643186114132212
2,3,1,2.148737352421473
2,3,2,3.4990068144254303
2,3,3,4.632286405710726
2,3,4,5.317436889900274
2,4,1,2.3216395231063696
2,4,2,3.5271067190091814
2,4,3,4.654137807394562
2,4,4,5.620354246341612
3,1,1,1.7882493371920336
3,1,2,2.9251276805381696
3,1,3,4.306148878413218
3,1,4,5.328032620510553
3,2,1,2.3490779786022173
3,2,2,3.8130563464191027
3,2,3,5.099821851460955
3,2,4,6.079115202735979
3,3,1,2.573590230134382
3,3,2,4.240460717062757
3,3,3,5.754261112445313
3,3,4,6.893863473091105
3,4,1,2.571798727159035
3,4,2,4.349012900585494
3,4,3,6.2889457832637286
3,4,4,7.1256223539025845
4,1,1,2.5053741447133597
4,1,2,3.273442221132355
4,1,3,4.307119000280379
4,1,4,5.328136938714606
4,2,1,2.707209835745963
4,2,2,4.0403118075645965
4,2,3,5.703867196065528
4,2,4,6.998039166414506
4,3,1,2.8520376308583026
4,3,2,4.7073061169444985
4,3,3,6.5831182997112725
4,3,4,7.612566614034612
4,4,1,2.9594752261656914
4,4,2,4.734444764373974
4,4,3,7.050667699102839
4,4,4,7.684913600457864
