lambda,train_mse,val_mse
0.0,0.21100989200644293,0.2293736027702403
0.001953125,0.2109980100399181,0.22934387851474675
0.00390625,0.21100237354923448,0.22933240571676924
0.0078125,0.2110201527872128,0.22931476913769006
0.015625,0.2110797769982804,0.22929850176426073
0.03125,0.2112978710455311,0.22934428035080287
0.0625,0.21187132765968472,0.2295574415456393
0.125,0.21308096693385953,0.23012428445497826
0.25,0.2151453740018825,0.2311265833142401
0.5,0.21810074036863952,0.23265983958930758
1.0,0.22169861187218615,0.23481094676374564
2.0,0.22561423088614793,0.2374174808204717
4.0,0.2294789576290721,0.24025776939627724
8.0,0.23253955784620137,0.24257437249231628
16.0,0.23475787936265807,0.24428197087252723
32.0,0.23658218659043126,0.24577755582185318
64.0,0.23808718948523966,0.24706696459365055
128.0,0.23932944181581975,0.24816698414308938
256.0,0.24031641520893857,0.24905059615223896
inf,11.924355879789017,11.883993596395733
