config,train_mse,val_mse,best_rounds
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2288151244906408,0.2276758821427267,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22889713324073313,0.22775769289598763,808
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2288151244906408,0.2276758821427267,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22889713324073313,0.22775769289598763,808
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22756281067858333,0.22677765405744146,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22788225788234637,0.22705256740635735,803
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22756300824539424,0.2267776739040522,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22788229385714517,0.22705201023751123,803
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22693688994220748,0.2265926289762437,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22729869522090507,0.22706419910504122,798
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22693784065671935,0.22659250007757284,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.22730493631194695,0.22706800975691666,794
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22665875335770352,0.22638487632877088,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.226709748913397,0.22643077876629197,798
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.22666405097550285,0.2263878122535612,1000
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2267186099218081,0.2264389129934251,799
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2290661067984014,0.2277738649144755,600
