config,train_mse,val_mse
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21890229452446636,0.21492160230308088
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21998128621154892,0.21653807002984357
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2217984518511861,0.2182342222466648
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21959235701985144,0.2158529591881831
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.22404645503763265,0.22017183963856762
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.22042349544997983,0.21694968781732218
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21944769544830478,0.21541588422372154
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21991313797370954,0.21609514977596192
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21982486827005743,0.21646644797383666
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2192776097324318,0.21534952865908272
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.22133778841416668,0.21688441530186886
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.22027356829309647,0.2164609070502784
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2190567709422419,0.2150681670368147
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.21909948615687258,0.21526328261956332
