lambda,train_mse,val_mse
0.0,0.1869042129880049,0.19124416525122015
0.001953125,0.18690547649466982,0.19124048505173252
0.00390625,0.18691248800019836,0.1912409481086471
0.0078125,0.18692639317960424,0.19124317920258777
0.015625,0.18697682068060306,0.19126535485436738
0.03125,0.1871527431015467,0.19133260304623748
0.0625,0.1876240272638225,0.19158853484073327
0.125,0.18866188316180518,0.19211623463613403
0.25,0.1904161514101117,0.19292314269750377
0.5,0.19277600440164622,0.1939216872033824
1.0,0.1955035872638695,0.195115740722038
2.0,0.19826673454735894,0.1965190321398951
4.0,0.20067405682152406,0.197916756250973
8.0,0.2026415524274962,0.199198283018762
16.0,0.20429861449910783,0.20042046895543383
32.0,0.20567163167663197,0.20154333957342882
64.0,0.20678646351362015,0.20251668960520033
128.0,0.2076816861740594,0.20332898648708456
256.0,0.20839371932764286,0.20398534641931979
inf,11.387267253117752,11.394999099668356
