0,1,2,3,4,5,function_value
1.0,1.0,1.0,1.0,1.0,1.0,1.0722479654044679
1.0,1.0,1.0,1.0,1.0,2.0,1.0717716751436541
1.0,1.0,1.0,1.0,1.0,3.0,1.071918844095232
1.0,1.0,1.0,1.0,1.0,5.0,1.5838986492769271
1.0,1.0,1.0,1.0,2.0,1.0,1.0713340508365192
1.0,1.0,1.0,1.0,2.0,2.0,1.071564662402568
1.0,1.0,1.0,1.0,2.0,3.0,1.1141473539342384
1.0,1.0,1.0,1.0,3.0,1.0,1.0708278677808818
1.0,1.0,1.0,1.0,3.0,3.0,1.2047032891548901
1.0,1.0,1.0,1.0,4.0,1.0,1.070531477500148
1.0,1.0,1.0,1.0,5.0,1.0,1.070393735735168
1.0,1.0,1.0,1.0,5.0,5.0,1.8881961688942832
1.0,1.0,1.0,2.0,1.0,1.0,1.0713595905607507
1.0,1.0,1.0,2.0,1.0,2.0,1.071571194168711
1.0,1.0,1.0,2.0,1.0,3.0,1.1579203755264975
1.0,1.0,1.0,2.0,1.0,5.0,1.5838973292184915
1.0,1.0,1.0,2.0,2.0,1.0,1.0710546913768522
1.0,1.0,1.0,2.0,2.0,2.0,1.0715881793714808
1.0,1.0,1.0,2.0,2.0,3.0,1.2345979892961596
1.0,1.0,1.0,2.0,3.0,1.0,1.0708660704110922
1.0,1.0,1.0,2.0,3.0,2.0,1.1810395822510673
1.0,1.0,1.0,2.0,3.0,3.0,1.3195137245356166
1.0,1.0,1.0,3.0,1.0,1.0,1.0708972990552914
1.0,1.0,1.0,3.0,1.0,2.0,1.071603532771338
1.0,1.0,1.0,3.0,1.0,3.0,1.2607982113012233
1.0,1.0,1.0,3.0,2.0,1.0,1.0708722856853083
1.0,1.0,1.0,3.0,2.0,2.0,1.1319548437185218
1.0,1.0,1.0,3.0,2.0,3.0,1.3755968213817367
1.0,1.0,1.0,3.0,3.0,1.0,1.0708272207460572
1.0,1.0,1.0,3.0,3.0,2.0,1.288759697604102
1.0,1.0,1.0,3.0,3.0,3.0,1.3756803648640987
1.0,1.0,1.0,3.0,4.0,1.0,1.1927937946176328
1.0,1.0,1.0,3.0,4.0,2.0,1.353613607690284
1.0,1.0,1.0,3.0,4.0,3.0,1.5497838854712382
1.0,1.0,1.0,3.0,4.0,4.0,1.7597369595906358
1.0,1.0,1.0,3.0,5.0,3.0,1.6562934368125453
1.0,1.0,1.0,4.0,1.0,1.0,1.070661309902516
1.0,1.0,1.0,4.0,1.0,2.0,1.1369490579882033
1.0,1.0,1.0,4.0,2.0,2.0,1.2477784019594007
1.0,1.0,1.0,4.0,3.0,2.0,1.3586077871644395
1.0,1.0,1.0,4.0,4.0,1.0,1.2509704896357539
1.0,1.0,1.0,4.0,4.0,2.0,1.5099910200858246
1.0,1.0,1.0,4.0,4.0,3.0,1.6773231355916338
1.0,1.0,1.0,4.0,4.0,4.0,1.9167846476349868
1.0,1.0,1.0,4.0,5.0,5.0,2.2356668620324687
1.0,1.0,1.0,5.0,1.0,1.0,1.0705493444272158
1.0,1.0,1.0,5.0,1.0,2.0,1.2527726867413547
1.0,1.0,1.0,5.0,1.0,5.0,1.9081729190332088
1.0,1.0,1.0,5.0,2.0,3.0,1.582068868155434
1.0,1.0,1.0,5.0,5.0,5.0,2.298817160089741
1.0,1.0,2.0,1.0,1.0,1.0,1.0724593170322878
1.0,1.0,2.0,1.0,1.0,2.0,1.1589959669704237
1.0,1.0,2.0,1.0,2.0,1.0,1.0726031080694283
1.0,1.0,2.0,1.0,3.0,1.0,1.0727252928378384
1.0,1.0,2.0,2.0,1.0,1.0,1.0725808943926485
1.0,1.0,2.0,2.0,1.0,2.0,1.158993877114788
1.0,1.0,2.0,2.0,2.0,2.0,1.2821852195553094
1.0,1.0,2.0,2.0,3.0,1.0,1.1454363568962498
1.0,1.0,2.0,2.0,3.0,2.0,1.404190497695611
1.0,1.0,2.0,3.0,1.0,1.0,1.072664979445235
1.0,1.0,2.0,3.0,1.0,3.0,1.5140295064547766
1.0,1.0,2.0,3.0,2.0,1.0,1.150430573843797
1.0,1.0,2.0,3.0,2.0,2.0,1.393446014699645
1.0,1.0,2.0,3.0,3.0,1.0,1.2612601367557443
1.0,1.0,2.0,3.0,3.0,2.0,1.5202806871308565
1.0,1.0,2.0,3.0,3.0,3.0,1.6947755083943368
1.0,1.0,2.0,3.0,4.0,3.0,1.8090230147515913
1.0,1.0,2.0,3.0,4.0,4.0,2.068043607138851
1.0,1.0,2.0,4.0,1.0,4.0,1.8108252110062928
1.0,1.0,2.0,4.0,3.0,3.0,1.8341898780190575
1.0,1.0,2.0,4.0,3.0,4.0,2.0730378141083308
1.0,1.0,2.0,4.0,4.0,3.0,1.9654004290777096
