lambda,train_mse,val_mse
0.0,0.15409419343543085,0.16266867547256955
0.001953125,0.15409199054010722,0.16266321196341094
0.00390625,0.15409563066689103,0.1626607758044847
0.0078125,0.15411541765192593,0.16266782094829518
0.015625,0.15416620173955672,0.16269126448928006
0.03125,0.15432972164235362,0.1627692838422296
0.0625,0.15475710619405458,0.16296074893015902
0.125,0.1556483561998977,0.1633460382726702
0.25,0.15710829460538644,0.16396034827819636
0.5,0.15904893521808702,0.16480172468103527
1.0,0.16125305864384828,0.1658707474548496
2.0,0.16339404997191168,0.16704763129340136
4.0,0.16515174513051128,0.16808194559474754
8.0,0.16660568485705382,0.1690446504696029
16.0,0.16779163710287345,0.1699105032179947
32.0,0.1687696741444626,0.1706771261705336
64.0,0.16956800852400514,0.1713354154890742
128.0,0.17025275896349096,0.1719357509979323
256.0,0.17084723913513986,0.17249210895227976
inf,0.17323085039534955,0.17502990146317082
