config,train_mse,val_mse
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16291916985622618,0.16353878921562948
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16231216421961184,0.16330368402052814
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.161866231726114,0.16269763953496225
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1624773165240454,0.16358139153254356
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16241231918460494,0.16295268323119907
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16312478426694016,0.1641022400411166
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16155780604506648,0.16265661889330055
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16163624426089404,0.16276992717774763
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1625980349203922,0.1633004904900269
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16385685707275116,0.16478841810692704
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1636050479342141,0.16402243370835906
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16292967933172195,0.163931810262192
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1615303702715131,0.16257622600773297
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16196857576114349,0.16300322916760618
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1620719020375683,0.16307474860419574
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16248068384726821,0.1638095461083435
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1636972840079717,0.1648919861038075
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1628313888775531,0.16395831149076676
"{'activation': 'elu', 'batch_size': 1024, 'depth': 1, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16286910173763902,0.16368285081709866
"{'activation': 'elu', 'batch_size': 1024, 'depth': 1, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16677899958370965,0.16677719022227996
"{'activation': 'elu', 'batch_size': 1024, 'depth': 1, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16246761500846518,0.1631446255762311
"{'activation': 'elu', 'batch_size': 1024, 'depth': 1, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1678179581157407,0.16762603873212997
"{'activation': 'elu', 'batch_size': 1024, 'depth': 1, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16430860339572698,0.16496274414519735
"{'activation': 'elu', 'batch_size': 1024, 'depth': 1, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16852896908815562,0.16829977126277845
"{'activation': 'elu', 'batch_size': 1024, 'depth': 2, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16194904103732619,0.16306912712781618
"{'activation': 'elu', 'batch_size': 1024, 'depth': 2, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.16673249875314872,0.16693996228962996
"{'activation': 'elu', 'batch_size': 1024, 'depth': 2, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.1654846665212987,0.1657088076361377
