0,1,2,3,4,5,function_value
1.0,1.0,1.0,1.0,1.0,1.0,1.1506393263648445
1.0,1.0,1.0,1.0,1.0,2.0,1.1508707083654557
1.0,1.0,1.0,1.0,1.0,3.0,1.1509277424318605
1.0,1.0,1.0,1.0,2.0,1.0,1.1511187664266795
1.0,1.0,1.0,1.0,2.0,2.0,1.150965500972703
1.0,1.0,1.0,1.0,2.0,3.0,1.150924556386589
1.0,1.0,1.0,1.0,3.0,1.0,1.1512215688640213
1.0,1.0,1.0,1.0,3.0,2.0,1.1510466531654122
1.0,1.0,1.0,1.0,3.0,3.0,1.1926741489500525
1.0,1.0,1.0,1.0,4.0,2.0,1.1510310589034585
1.0,1.0,1.0,1.0,5.0,2.0,1.1510233363312818
1.0,1.0,1.0,2.0,1.0,1.0,1.1507168481023595
1.0,1.0,1.0,2.0,1.0,2.0,1.1508460280138642
1.0,1.0,1.0,2.0,1.0,3.0,1.150906677335917
1.0,1.0,1.0,2.0,2.0,1.0,1.1509230841942584
1.0,1.0,1.0,2.0,2.0,2.0,1.150895843266481
1.0,1.0,1.0,2.0,2.0,3.0,1.150905795580352
1.0,1.0,1.0,2.0,3.0,1.0,1.1510929523743003
1.0,1.0,1.0,2.0,3.0,2.0,1.1510020454877712
1.0,1.0,1.0,2.0,3.0,3.0,1.2461360447745946
1.0,1.0,1.0,2.0,4.0,2.0,1.2796823674907105
1.0,1.0,1.0,3.0,1.0,1.0,1.1506622198563048
1.0,1.0,1.0,3.0,1.0,2.0,1.1507339687846367
1.0,1.0,1.0,3.0,1.0,3.0,1.200265386777482
1.0,1.0,1.0,3.0,2.0,2.0,1.1508048198952856
1.0,1.0,1.0,3.0,2.0,3.0,1.2878984520045746
1.0,1.0,1.0,3.0,3.0,1.0,1.2656752367855224
1.0,1.0,1.0,3.0,3.0,2.0,1.2878982876369303
1.0,1.0,1.0,3.0,3.0,3.0,1.2878984288679
1.0,1.0,1.0,3.0,4.0,3.0,1.2878985209600662
1.0,1.0,1.0,3.0,5.0,2.0,1.3413603213220735
1.0,1.0,1.0,3.0,5.0,3.0,1.3413604845528244
1.0,1.0,1.0,3.0,5.0,4.0,1.3413605186158826
1.0,1.0,1.0,4.0,1.0,1.0,1.1507237354477227
1.0,1.0,1.0,4.0,1.0,2.0,1.150708438375097
1.0,1.0,1.0,4.0,1.0,3.0,1.200265508252689
1.0,1.0,1.0,4.0,1.0,4.0,1.2002657230502523
1.0,1.0,1.0,4.0,2.0,1.0,1.1508183949456328
1.0,1.0,1.0,4.0,2.0,2.0,1.2648975227702266
1.0,1.0,1.0,4.0,3.0,1.0,1.3017581381595984
1.0,1.0,1.0,4.0,3.0,3.0,1.3413605949647769
1.0,1.0,1.0,4.0,4.0,2.0,1.3413606308889465
1.0,1.0,1.0,4.0,4.0,4.0,1.3413605761075558
1.0,1.0,1.0,4.0,5.0,3.0,1.3413605916750115
1.0,1.0,1.0,5.0,1.0,1.0,1.150718759257874
1.0,1.0,1.0,5.0,1.0,2.0,1.1507017270668767
1.0,1.0,1.0,5.0,1.0,3.0,1.3413604814339766
1.0,1.0,1.0,5.0,1.0,4.0,1.3413605153102426
1.0,1.0,1.0,5.0,3.0,2.0,1.3017581271742966
1.0,1.0,1.0,5.0,3.0,3.0,1.3413605610146169
1.0,1.0,1.0,5.0,5.0,5.0,1.3413605594825084
1.0,1.0,2.0,1.0,1.0,1.0,1.2070769661966547
1.0,1.0,2.0,1.0,1.0,2.0,1.2541940969815786
1.0,1.0,2.0,1.0,1.0,3.0,1.3366810944635614
1.0,1.0,2.0,1.0,2.0,1.0,1.2070771147681938
1.0,1.0,2.0,1.0,3.0,1.0,1.2070771568517715
1.0,1.0,2.0,1.0,3.0,2.0,1.2541941055719996
1.0,1.0,2.0,1.0,3.0,3.0,1.396857741549487
1.0,1.0,2.0,2.0,1.0,1.0,1.207077053225644
1.0,1.0,2.0,2.0,1.0,2.0,1.2541940899253743
1.0,1.0,2.0,2.0,2.0,1.0,1.2070771733945362
1.0,1.0,2.0,2.0,2.0,2.0,1.2541940988671487
1.0,1.0,2.0,2.0,3.0,1.0,1.367822955963983
1.0,1.0,2.0,2.0,3.0,3.0,1.544298893161107
1.0,1.0,2.0,2.0,3.0,4.0,1.6228260357315902
1.0,1.0,2.0,2.0,4.0,3.0,1.6833197860364093
1.0,1.0,2.0,3.0,1.0,1.0,1.2070770734184466
1.0,1.0,2.0,3.0,1.0,2.0,1.2541941355473814
1.0,1.0,2.0,3.0,1.0,3.0,1.3366815403547911
1.0,1.0,2.0,3.0,2.0,2.0,1.2541940540059942
1.0,1.0,2.0,3.0,2.0,3.0,1.4990797602602184
1.0,1.0,2.0,3.0,3.0,1.0,1.4609847966349792
1.0,1.0,2.0,3.0,3.0,2.0,1.4609848019541585
1.0,1.0,2.0,3.0,3.0,3.0,1.5442987925672023
1.0,1.0,2.0,3.0,4.0,3.0,1.6833197856877202
1.0,1.0,2.0,3.0,4.0,4.0,1.6833197863374165
1.0,1.0,2.0,3.0,5.0,3.0,1.9768187574585436
1.0,1.0,2.0,4.0,1.0,1.0,1.2070771141045569
1.0,1.0,2.0,4.0,1.0,2.0,1.4991616357524211
1.0,1.0,2.0,4.0,1.0,3.0,1.4991617931653411
1.0,1.0,2.0,4.0,2.0,4.0,1.5690668850795086
1.0,1.0,2.0,4.0,3.0,3.0,1.6228263235653062
1.0,1.0,2.0,4.0,3.0,4.0,1.6228262248993408
1.0,1.0,2.0,4.0,5.0,3.0,2.0124028925583444
1.0,1.0,2.0,4.0,5.0,5.0,2.012402951994565
1.0,1.0,2.0,5.0,2.0,4.0,1.5690668568351622
1.0,1.0,2.0,5.0,3.0,4.0,2.012402910297146
1.0,1.0,2.0,5.0,5.0,5.0,2.01240292178359
1.0,1.0,3.0,1.0,1.0,1.0,1.20707698117631
1.0,1.0,3.0,1.0,2.0,1.0,1.2070772015006384
1.0,1.0,3.0,1.0,2.0,2.0,1.2541940531449
1.0,1.0,3.0,1.0,3.0,1.0,1.2070772088951827
1.0,1.0,3.0,2.0,1.0,1.0,1.2070771041553117
1.0,1.0,3.0,2.0,2.0,2.0,1.300140813847472
1.0,1.0,3.0,2.0,3.0,3.0,1.5442989084523944
1.0,1.0,3.0,3.0,1.0,1.0,1.2070771546125831
1.0,1.0,3.0,3.0,1.0,2.0,1.2541942139692994
1.0,1.0,3.0,3.0,1.0,3.0,1.3366818063678516
1.0,1.0,3.0,3.0,2.0,2.0,1.3001408545117623
1.0,1.0,3.0,3.0,3.0,3.0,1.5442988572378413
1.0,1.0,3.0,3.0,5.0,5.0,2.597198276578779
1.0,1.0,3.0,4.0,1.0,1.0,1.20707719153568
1.0,1.0,3.0,4.0,2.0,1.0,1.2070772159253944
