config,train_mse,val_mse,best_rounds
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2068662140386059,0.20646304314449723,988
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2065917770608924,0.20633535410618112,777
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2068662140386059,0.20646304314449723,988
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2065917770608924,0.20633535410618112,777
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20603070648377209,0.20561518147312566,988
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2059215189650552,0.20562876745617284,782
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20603089984827427,0.20561528930051928,988
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20592155273290913,0.20562891564152255,777
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2056542294758124,0.2057046788674477,992
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20541840377825213,0.20560381828096985,778
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2056644999744333,0.20569538382496474,992
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20541808215924243,0.2056054209409977,782
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20535132929610841,0.20559285023691243,992
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20511930984998916,0.20559584286867488,774
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20535859512119142,0.2056070987702608,992
"{'colsample_bytree': 1.0, 'learning_rate': 0.02, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20512681275957725,0.20560163494575928,776
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20693405328275927,0.2065697502028439,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20660877494074506,0.20631811857182117,322
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20693405328275927,0.2065697502028439,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20660877494074506,0.20631811857182117,322
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20597431907406857,0.20564626188263108,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20598673314073035,0.20562988763583,325
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20597437934682422,0.2056462678849425,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20598673314073035,0.20562988763583,325
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20562175416059136,0.20577976517108007,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2057283238016789,0.2059206373072886,322
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2056223183851003,0.20577865355430577,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20572952524561247,0.20592839539913846,325
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20523849065484348,0.20554234327643053,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20530644343096102,0.2056433302605588,324
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20524900478717562,0.20554680202907913,568
"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.205320373673041,0.20565453874526626,329
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20696783523560816,0.20653287172899912,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20757454172000722,0.20748253079737589,167
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20696783523560816,0.20653287172899912,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20757454172000722,0.20748253079737589,167
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20584869290238442,0.20569166615879264,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20598962870305523,0.20572010319570058,165
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.2058462359953142,0.20568557299481174,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20598967148055644,0.20572015642972896,165
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20611494275007541,0.20609376713367292,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20570419074953025,0.20565632052774563,165
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20611631314648174,0.2060927363359523,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.2057052731356449,0.20565618040179673,165
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20585678152052886,0.20604313208536096,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20535894206392408,0.20552683814977799,165
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 0.8}",0.20578867522877164,0.20598911017351965,154
"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 5, 'n_estimators': 1000, 'patience': 50, 'reg_lambda': 1.0, 'subsample': 1.0}",0.20536118753665877,0.20552657805634153,165
