config,train_mse,val_mse
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2023292154191088,0.20071811704567405
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2027518500833244,0.20174730153681572
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2053972380098136,0.20350807394603548
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20305434024254929,0.20199321019347538
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20484978377110868,0.20323706987511206
"{'activation': 'elu', 'batch_size': 256, 'depth': 1, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20401322620103834,0.20232994751314323
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20305534323081162,0.20142987291678888
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2023766897515306,0.20140321260435176
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20361826287827337,0.20236147725952133
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20306191975859855,0.20138650210658787
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20377153249851515,0.20270894050480923
"{'activation': 'elu', 'batch_size': 256, 'depth': 2, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2035896850246124,0.2027260801535988
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 32, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20242102127428505,0.20126205079771367
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 32, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20226662933751124,0.20114033942261222
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 64, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2028254835938444,0.20198181753196107
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 64, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20381185379462327,0.20204089923378946
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 128, 'lr': 0.01, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.20786753914710102,0.2074300070484806
"{'activation': 'elu', 'batch_size': 256, 'depth': 3, 'hidden': 128, 'lr': 0.001, 'max_epochs': 200, 'patience': 30, 'weight_decay': 0.0001}",0.2037274810876689,0.2025272187602112
