0,1,2,3,4,5,function_value
1.0,1.0,1.0,1.0,1.0,1.0,1.100689125593077
1.0,1.0,1.0,1.0,1.0,2.0,1.1006907840238493
1.0,1.0,1.0,1.0,1.0,3.0,1.100677569328852
1.0,1.0,1.0,1.0,2.0,1.0,1.1007461893340178
1.0,1.0,1.0,1.0,2.0,2.0,1.1007065335108435
1.0,1.0,1.0,1.0,2.0,3.0,1.1006867980956252
1.0,1.0,1.0,1.0,2.0,4.0,1.1573002432624497
1.0,1.0,1.0,1.0,3.0,1.0,1.100740789777281
1.0,1.0,1.0,1.0,3.0,2.0,1.1007133570265843
1.0,1.0,1.0,1.0,3.0,3.0,1.131341168364445
1.0,1.0,1.0,1.0,4.0,1.0,1.100720455666102
1.0,1.0,1.0,1.0,4.0,4.0,1.476556374597875
1.0,1.0,1.0,1.0,5.0,3.0,1.3503239160648546
1.0,1.0,1.0,2.0,1.0,1.0,1.100712437835598
1.0,1.0,1.0,2.0,1.0,2.0,1.1006760504939594
1.0,1.0,1.0,2.0,1.0,3.0,1.1006713180597765
1.0,1.0,1.0,2.0,1.0,4.0,1.1491092944572374
1.0,1.0,1.0,2.0,2.0,1.0,1.1007576164956991
1.0,1.0,1.0,2.0,2.0,2.0,1.1384831479666768
1.0,1.0,1.0,2.0,2.0,3.0,1.1448776237488345
1.0,1.0,1.0,2.0,2.0,4.0,1.279133329851713
1.0,1.0,1.0,2.0,3.0,1.0,1.100736720364954
1.0,1.0,1.0,2.0,3.0,2.0,1.165179901002072
1.0,1.0,1.0,2.0,4.0,2.0,1.2457772302927175
1.0,1.0,1.0,2.0,5.0,5.0,1.9047186920561754
1.0,1.0,1.0,3.0,1.0,1.0,1.100688046197747
1.0,1.0,1.0,3.0,1.0,2.0,1.1006498859865153
1.0,1.0,1.0,3.0,1.0,3.0,1.1281220012076711
1.0,1.0,1.0,3.0,2.0,1.0,1.1007408496563544
1.0,1.0,1.0,3.0,2.0,2.0,1.1384832161882936
1.0,1.0,1.0,3.0,2.0,3.0,1.2531433663191125
1.0,1.0,1.0,3.0,3.0,1.0,1.1007308909985645
1.0,1.0,1.0,3.0,3.0,2.0,1.201748139998556
1.0,1.0,1.0,3.0,3.0,3.0,1.341567101330146
1.0,1.0,1.0,3.0,4.0,2.0,1.308401272903417
1.0,1.0,1.0,3.0,4.0,3.0,1.439763923328079
1.0,1.0,1.0,3.0,4.0,4.0,1.7038045487220568
1.0,1.0,1.0,4.0,1.0,1.0,1.100632207321358
1.0,1.0,1.0,4.0,1.0,2.0,1.1006286755324945
1.0,1.0,1.0,4.0,1.0,3.0,1.183816574089431
1.0,1.0,1.0,4.0,1.0,4.0,1.3927756349825404
1.0,1.0,1.0,4.0,2.0,2.0,1.1701879835529156
1.0,1.0,1.0,4.0,2.0,3.0,1.3445061364680422
1.0,1.0,1.0,4.0,3.0,2.0,1.3393269296353538
1.0,1.0,1.0,4.0,3.0,3.0,1.449879917720844
1.0,1.0,1.0,4.0,3.0,4.0,1.652823397891862
1.0,1.0,1.0,4.0,4.0,1.0,1.2539291520970772
1.0,1.0,1.0,4.0,4.0,2.0,1.4894427079291055
1.0,1.0,1.0,4.0,4.0,3.0,1.5726357394770116
1.0,1.0,1.0,4.0,4.0,4.0,1.7038042012706276
1.0,1.0,1.0,5.0,1.0,1.0,1.1006055912000567
1.0,1.0,1.0,5.0,1.0,4.0,1.514609314222962
1.0,1.0,1.0,5.0,1.0,5.0,1.6909157166965418
1.0,1.0,1.0,5.0,2.0,1.0,1.1157151139896857
1.0,1.0,1.0,5.0,2.0,5.0,1.8801465422906731
1.0,1.0,1.0,5.0,3.0,1.0,1.2320003130109924
1.0,1.0,1.0,5.0,3.0,3.0,1.6703642497982276
1.0,1.0,1.0,5.0,4.0,4.0,1.9638876986542733
1.0,1.0,1.0,5.0,5.0,5.0,2.1992142994003316
1.0,1.0,2.0,1.0,1.0,1.0,1.100984924893637
1.0,1.0,2.0,1.0,1.0,2.0,1.1010579892464605
1.0,1.0,2.0,1.0,2.0,1.0,1.1008604526714105
1.0,1.0,2.0,1.0,2.0,2.0,1.1837312826622355
1.0,1.0,2.0,1.0,2.0,3.0,1.2259294048149925
1.0,1.0,2.0,1.0,3.0,1.0,1.1008154910411942
1.0,1.0,2.0,1.0,3.0,2.0,1.2135651203494526
1.0,1.0,2.0,1.0,3.0,3.0,1.3182653897773096
1.0,1.0,2.0,1.0,3.0,5.0,1.767774206370673
1.0,1.0,2.0,1.0,4.0,1.0,1.1333676571893827
1.0,1.0,2.0,1.0,4.0,3.0,1.4859781660934768
1.0,1.0,2.0,2.0,1.0,1.0,1.1009617545648072
1.0,1.0,2.0,2.0,1.0,2.0,1.340166607582844
1.0,1.0,2.0,2.0,1.0,3.0,1.3401668244696954
1.0,1.0,2.0,2.0,2.0,1.0,1.1008659705755501
1.0,1.0,2.0,2.0,2.0,2.0,1.348153874309736
1.0,1.0,2.0,2.0,3.0,2.0,1.3565608457346576
1.0,1.0,2.0,2.0,3.0,3.0,1.5330766325739698
1.0,1.0,2.0,2.0,3.0,4.0,1.654093581796127
1.0,1.0,2.0,2.0,4.0,2.0,1.431504869367946
1.0,1.0,2.0,2.0,4.0,4.0,1.7841171839297703
1.0,1.0,2.0,3.0,1.0,1.0,1.1009536114452665
1.0,1.0,2.0,3.0,1.0,2.0,1.3401667603449734
1.0,1.0,2.0,3.0,1.0,3.0,1.3533723893755465
1.0,1.0,2.0,3.0,2.0,1.0,1.1104428284445156
1.0,1.0,2.0,3.0,2.0,2.0,1.3481539979231019
1.0,1.0,2.0,3.0,2.0,3.0,1.4433457547997892
1.0,1.0,2.0,3.0,3.0,1.0,1.306215894002171
1.0,1.0,2.0,3.0,3.0,2.0,1.491176871929088
1.0,1.0,2.0,3.0,3.0,3.0,1.5594540618152708
1.0,1.0,2.0,3.0,3.0,5.0,2.0114400802529873
1.0,1.0,2.0,3.0,4.0,3.0,1.7296438968880403
1.0,1.0,2.0,4.0,1.0,3.0,1.373052241024131
1.0,1.0,2.0,4.0,1.0,4.0,1.7484853131180502
1.0,1.0,2.0,4.0,2.0,3.0,1.5914292309612694
1.0,1.0,2.0,4.0,3.0,2.0,1.6043546080109654
1.0,1.0,2.0,4.0,3.0,3.0,1.7832857910476654
1.0,1.0,2.0,4.0,4.0,2.0,1.6751705677630362
1.0,1.0,2.0,4.0,4.0,3.0,1.8597783053100727
1.0,1.0,2.0,4.0,4.0,4.0,1.9733140847060977
1.0,1.0,2.0,4.0,4.0,5.0,2.3225043329304484
1.0,1.0,2.0,4.0,5.0,5.0,2.393320448366644
1.0,1.0,2.0,5.0,1.0,3.0,1.583238651883076
1.0,1.0,2.0,5.0,4.0,4.0,2.1971499614329457
1.0,1.0,2.0,5.0,5.0,5.0,2.515153121875265
1.0,1.0,3.0,1.0,1.0,1.0,1.1358094017930627
1.0,1.0,3.0,1.0,1.0,2.0,1.15534356238783
1.0,1.0,3.0,1.0,1.0,4.0,1.5763590789349382
1.0,1.0,3.0,1.0,2.0,1.0,1.1358067574348407
1.0,1.0,3.0,1.0,2.0,2.0,1.2945619925007508
1.0,1.0,3.0,1.0,2.0,3.0,1.4708654475493288
1.0,1.0,3.0,1.0,3.0,2.0,1.4325676902383278
1.0,1.0,3.0,1.0,3.0,3.0,1.6231992315407902
1.0,1.0,3.0,2.0,1.0,1.0,1.1940140562867074
1.0,1.0,3.0,2.0,2.0,1.0,1.2999466505740884
1.0,1.0,3.0,2.0,2.0,2.0,1.4490146324939364
1.0,1.0,3.0,2.0,2.0,3.0,1.6713637283760538
1.0,1.0,3.0,2.0,3.0,2.0,1.5464169580037397
1.0,1.0,3.0,2.0,3.0,3.0,1.768953860047517
1.0,1.0,3.0,3.0,1.0,1.0,1.3366499661997644
1.0,1.0,3.0,3.0,1.0,2.0,1.4674112937832355
1.0,1.0,3.0,3.0,1.0,3.0,1.5171662158741217
1.0,1.0,3.0,3.0,2.0,2.0,1.5382257511254809
1.0,1.0,3.0,3.0,2.0,3.0,1.6734514387892836
1.0,1.0,3.0,3.0,3.0,1.0,1.5203423560202074
1.0,1.0,3.0,3.0,3.0,2.0,1.6650453639108695
1.0,1.0,3.0,3.0,3.0,3.0,1.7689535107099064
1.0,1.0,3.0,3.0,5.0,3.0,2.0428579114363483
1.0,1.0,3.0,4.0,1.0,1.0,1.3898536875203598
1.0,1.0,3.0,4.0,1.0,4.0,1.8826467253066932
1.0,1.0,3.0,4.0,2.0,2.0,1.7489884360947305
1.0,1.0,3.0,4.0,3.0,3.0,2.02559636315536
1.0,1.0,3.0,4.0,3.0,4.0,2.205775539256771
1.0,1.0,3.0,4.0,4.0,4.0,2.2574738062210984
1.0,1.0,3.0,5.0,3.0,3.0,2.147429143249187
1.0,1.0,3.0,5.0,4.0,4.0,2.5129667182815916
1.0,1.0,3.0,5.0,5.0,5.0,2.700881228244753
1.0,1.0,4.0,1.0,1.0,1.0,1.2201318418210152
1.0,1.0,4.0,1.0,3.0,1.0,1.4932138331727645
1.0,1.0,4.0,2.0,1.0,2.0,1.6497224659182157
1.0,1.0,4.0,2.0,2.0,1.0,1.485022841509842
1.0,1.0,4.0,2.0,3.0,2.0,1.850560074346175
1.0,1.0,4.0,3.0,2.0,2.0,1.8423693376358883
1.0,1.0,4.0,3.0,2.0,4.0,2.19498154920439
1.0,1.0,4.0,3.0,3.0,2.0,1.9131857618782508
1.0,1.0,4.0,3.0,4.0,4.0,2.4912011059369803
