,0,1,2,3,4,5,function_value
0,1.0,1.0,1.0,1.0,1.0,1.0,1.1625593083186219
1,1.0,1.0,1.0,1.0,1.0,2.0,1.1627789183001889
2,1.0,1.0,1.0,1.0,1.0,3.0,1.1628264824473724
3,1.0,1.0,1.0,1.0,2.0,1.0,1.1630270975065198
4,1.0,1.0,1.0,1.0,2.0,2.0,1.2403100816749673
5,1.0,1.0,1.0,1.0,2.0,3.0,1.240309873212853
6,1.0,1.0,1.0,1.0,2.0,4.0,1.2403099424280482
7,1.0,1.0,1.0,1.0,3.0,1.0,1.1631177392768695
8,1.0,1.0,1.0,1.0,3.0,2.0,1.240310493131854
9,1.0,1.0,1.0,1.0,3.0,3.0,1.240507447780642
10,1.0,1.0,1.0,1.0,4.0,1.0,1.163155753309985
11,1.0,1.0,1.0,1.0,4.0,2.0,1.2403096970104406
12,1.0,1.0,1.0,1.0,4.0,4.0,1.2499994610709522
13,1.0,1.0,1.0,1.0,5.0,1.0,1.1631573446128227
14,1.0,1.0,1.0,1.0,5.0,3.0,1.2405076442899177
15,1.0,1.0,1.0,1.0,5.0,5.0,1.2499994080076349
16,1.0,1.0,1.0,2.0,1.0,1.0,1.1628179418852758
17,1.0,1.0,1.0,2.0,1.0,2.0,1.1628721481063322
18,1.0,1.0,1.0,2.0,1.0,3.0,1.1628723250655872
19,1.0,1.0,1.0,2.0,1.0,4.0,1.1628899639432966
20,1.0,1.0,1.0,2.0,2.0,1.0,1.163165419596659
21,1.0,1.0,1.0,2.0,2.0,2.0,1.247421769114652
22,1.0,1.0,1.0,2.0,2.0,3.0,1.2474216635524904
23,1.0,1.0,1.0,2.0,2.0,4.0,1.247420169376827
24,1.0,1.0,1.0,2.0,3.0,1.0,1.1641224343035572
25,1.0,1.0,1.0,2.0,3.0,2.0,1.2474219635904151
26,1.0,1.0,1.0,2.0,4.0,2.0,1.278486151288717
27,1.0,1.0,1.0,2.0,5.0,1.0,1.1641305008852616
28,1.0,1.0,1.0,2.0,5.0,5.0,1.5333304427460066
29,1.0,1.0,1.0,3.0,1.0,1.0,1.1629151820248236
30,1.0,1.0,1.0,3.0,1.0,2.0,1.16290196402721
31,1.0,1.0,1.0,3.0,1.0,3.0,1.1628974697415297
32,1.0,1.0,1.0,3.0,2.0,1.0,1.16320750638703
33,1.0,1.0,1.0,3.0,2.0,2.0,1.2474206581441425
34,1.0,1.0,1.0,3.0,2.0,3.0,1.247421519460267
35,1.0,1.0,1.0,3.0,3.0,1.0,1.1641315339550296
36,1.0,1.0,1.0,3.0,3.0,2.0,1.2500016652488095
37,1.0,1.0,1.0,3.0,3.0,3.0,1.2784804192103327
38,1.0,1.0,1.0,3.0,4.0,1.0,1.2784804934837033
39,1.0,1.0,1.0,3.0,4.0,2.0,1.2784827319245153
40,1.0,1.0,1.0,3.0,4.0,3.0,1.2784805415545968
41,1.0,1.0,1.0,3.0,4.0,4.0,1.2784798462054872
42,1.0,1.0,1.0,4.0,1.0,1.0,1.1629408010509237
43,1.0,1.0,1.0,4.0,1.0,2.0,1.1629167874966804
44,1.0,1.0,1.0,4.0,1.0,3.0,1.1629082225451766
45,1.0,1.0,1.0,4.0,1.0,4.0,1.1629064899896928
46,1.0,1.0,1.0,4.0,2.0,1.0,1.1631778849481194
47,1.0,1.0,1.0,4.0,2.0,2.0,1.2474246240743012
48,1.0,1.0,1.0,4.0,2.0,3.0,1.2474202128333518
49,1.0,1.0,1.0,4.0,3.0,2.0,1.2784764605105816
50,1.0,1.0,1.0,4.0,3.0,3.0,1.2784793671904824
51,1.0,1.0,1.0,4.0,3.0,4.0,1.2784793142914097
52,1.0,1.0,1.0,4.0,4.0,1.0,1.27847886796826
53,1.0,1.0,1.0,4.0,4.0,2.0,1.2784807400038085
54,1.0,1.0,1.0,4.0,4.0,3.0,1.2784798732811218
55,1.0,1.0,1.0,4.0,4.0,4.0,1.2784793619680679
56,1.0,1.0,1.0,5.0,1.0,1.0,1.1629298328726811
57,1.0,1.0,1.0,5.0,1.0,4.0,1.1629195255140377
58,1.0,1.0,1.0,5.0,1.0,5.0,1.1629208414848322
59,1.0,1.0,1.0,5.0,2.0,1.0,1.1631455718061736
60,1.0,1.0,1.0,5.0,2.0,5.0,1.5333344134000044
61,1.0,1.0,1.0,5.0,3.0,1.0,1.1641557173920212
62,1.0,1.0,1.0,5.0,3.0,3.0,1.4047577850051403
63,1.0,1.0,1.0,5.0,4.0,4.0,1.533331367610949
64,1.0,1.0,1.0,5.0,5.0,1.0,1.2784723501742126
65,1.0,1.0,1.0,5.0,5.0,5.0,1.5333320504356236
66,1.0,1.0,2.0,1.0,1.0,1.0,1.177978762420185
67,1.0,1.0,2.0,1.0,1.0,2.0,1.3421052955571453
68,1.0,1.0,2.0,1.0,2.0,1.0,1.1779792751934914
69,1.0,1.0,2.0,1.0,2.0,2.0,1.3421052100700008
70,1.0,1.0,2.0,1.0,2.0,3.0,1.3421051220307059
71,1.0,1.0,2.0,1.0,3.0,1.0,1.177979118309747
72,1.0,1.0,2.0,1.0,3.0,2.0,1.3421049693076652
73,1.0,1.0,2.0,1.0,3.0,3.0,1.3421046311530365
74,1.0,1.0,2.0,1.0,3.0,5.0,1.7142856326738074
75,1.0,1.0,2.0,1.0,4.0,1.0,1.1779770135091763
76,1.0,1.0,2.0,1.0,4.0,3.0,1.342104007181623
77,1.0,1.0,2.0,2.0,1.0,1.0,1.1779789004413737
78,1.0,1.0,2.0,2.0,1.0,2.0,1.4174757488314866
79,1.0,1.0,2.0,2.0,1.0,3.0,1.4174754969071344
80,1.0,1.0,2.0,2.0,2.0,1.0,1.1779784844517218
81,1.0,1.0,2.0,2.0,2.0,2.0,1.4174757326506977
82,1.0,1.0,2.0,2.0,2.0,3.0,1.4174754007030421
83,1.0,1.0,2.0,2.0,3.0,2.0,1.4174758680555364
84,1.0,1.0,2.0,2.0,3.0,3.0,1.4174757372506122
85,1.0,1.0,2.0,2.0,3.0,4.0,1.4174759224502638
86,1.0,1.0,2.0,2.0,4.0,2.0,1.4174757841435714
87,1.0,1.0,2.0,2.0,4.0,4.0,1.4174760975569147
88,1.0,1.0,2.0,3.0,1.0,1.0,1.1779784381775273
89,1.0,1.0,2.0,3.0,1.0,2.0,1.417475665428298
90,1.0,1.0,2.0,3.0,1.0,3.0,1.4174752418179593
91,1.0,1.0,2.0,3.0,1.0,5.0,1.417474370652435
92,1.0,1.0,2.0,3.0,2.0,1.0,1.1779781155780924
93,1.0,1.0,2.0,3.0,2.0,2.0,1.4174757256825097
94,1.0,1.0,2.0,3.0,2.0,3.0,1.4174751036707205
95,1.0,1.0,2.0,3.0,3.0,1.0,1.3749986293398644
96,1.0,1.0,2.0,3.0,3.0,2.0,1.5294121592875773
97,1.0,1.0,2.0,3.0,3.0,3.0,1.5294120384312855
98,1.0,1.0,2.0,3.0,3.0,5.0,1.999999679954733
99,1.0,1.0,2.0,3.0,4.0,3.0,1.5294108071519732
100,1.0,1.0,2.0,3.0,4.0,4.0,1.5294120780740939
