N,t,mse_lin,mse_iso,mse_CV,lambda
50,0,0.009265216966279115,0.009798614539521938,0.006482234898343301,0.5
50,1,0.011831479691035105,0.01074074160581734,0.008429466089392094,2.0
50,2,0.011969264595845828,0.012045486702150505,0.009406179136811927,4.0
50,3,0.015815035220583893,0.005358574366239753,0.005668555287105406,0.25
50,4,0.008221888091917408,0.0044016357670976355,0.008221888091917408,inf
50,5,0.013166093163505288,0.007330687502786279,0.007023324600687744,0.03125
50,6,0.016488321828476357,0.013001245401233789,0.012210461140871855,0.125
50,7,0.012324400326441404,0.0010631840956580301,0.0010631840956580301,0.0
50,8,0.01827654524037628,0.018531793862038612,0.01827654524037628,inf
50,9,0.004560446250758651,0.00564441657406446,0.003223790677215129,2.0
50,10,0.01903615838250888,0.01104582354865229,0.011077099064363025,0.03125
50,11,0.012635180389413416,0.018012015183626398,0.018012015183626398,0.0
50,12,0.011054005535515969,0.0035838170183551342,0.004985603349675857,2.0
50,13,0.01790559439938988,0.009443685181120105,0.014070294258968788,256.0
50,14,0.012573229576485434,0.0053758362137041596,0.008569751669510774,4.0
50,15,0.012465579364382227,0.006121584872184104,0.005583272063878737,0.5
50,16,0.014074139098868836,0.0057817836865509875,0.011895672593032768,8.0
50,17,0.007349351703515314,0.008083602870771069,0.007349351703515314,inf
50,18,0.008834818613481447,0.014875349871477605,0.008591149022568948,256.0
50,19,0.010516617698713553,0.010046311127687618,0.010516617698713553,inf
50,20,0.01316101653391203,0.007886608252257132,0.007833154323301778,0.25
50,21,0.014388362662723576,0.009168034450564324,0.008257423080951945,0.125
50,22,0.01193676773957056,0.008862750155851284,0.009291223685687643,4.0
50,23,0.00796545343583508,0.007767487847023175,0.007767487847023175,0.0
50,24,0.012007343562704165,0.01289658797969922,0.011163322040536876,1.0
50,25,0.017971243969322145,0.03221468513503796,0.03221468513503796,0.0
50,26,0.014395803578752697,0.01837236764761536,0.01837236764761536,0.0
50,27,0.01304713513914024,0.009106908236081018,0.009482892364659575,1.0
50,28,0.011841783360824082,0.009600198316816775,0.00859404222916457,0.5
50,29,0.012964428306019269,0.016470775142631455,0.010447712403788605,0.5
50,30,0.010238649699767838,0.013219526251465214,0.007248594167168571,4.0
50,31,0.014226005298412826,0.005869407140124892,0.006077824685868161,0.5
50,32,0.018835487956598045,0.015409641445802116,0.012890741734679492,2.0
50,33,0.02597422113166362,0.023334232828150215,0.022332317595887923,0.25
50,34,0.011878207011156529,0.010593755090817322,0.01020085418506336,0.0625
50,35,0.010931649974126252,0.006979675938988823,0.006979675938988823,0.0
50,36,0.01745100595594113,0.013264215759416805,0.01745100595594113,inf
50,37,0.009883167994911247,0.005705473352685723,0.009476338494380725,256.0
50,38,0.015226098564717778,0.008959923403271444,0.009886346182436223,2.0
50,39,0.020976764938306122,0.014618472423407691,0.01555951915858607,0.25
50,40,0.017020187950571367,0.013032631244521255,0.011058995746768337,0.5
50,41,0.00971477820495335,0.0161233793487796,0.012865993258564938,0.25
50,42,0.01243420403687298,0.007755372908335343,0.01243420403687298,inf
50,43,0.013944680796450469,0.006527188806122209,0.006527188806122209,0.0
50,44,0.029514844017716504,0.007755339991597332,0.013408046259358007,2.0
50,45,0.013590984308233515,0.004928914073089761,0.004928914073089761,0.0
50,46,0.02132137053806696,0.02278697626767364,0.020357853626831072,256.0
50,47,0.013382950670368939,0.004766864508596887,0.01029837324922662,8.0
50,48,0.006587835771427746,0.006757582946753445,0.0044996581494053224,0.5
50,49,0.010967726540057286,0.008554312141668996,0.010967726540057286,inf
100,0,0.008310777500707944,0.008021262873195434,0.008048868793932209,2.0
100,1,0.013419901854723644,0.0062489261261419096,0.005236438007088267,0.5
100,2,0.013070916499896388,0.0038905965775818496,0.004715484159554014,1.0
100,3,0.012181068657582807,0.005503728246184936,0.005297725775154153,0.03125
100,4,0.014811735065543825,0.00621627997263971,0.00621627997263971,0.0
100,5,0.01105041947761955,0.0036659083484757416,0.007301198931532563,2.0
100,6,0.006573181375024193,0.003613705914149003,0.003613705914149003,0.0
100,7,0.0104205924431791,0.003002515894985394,0.003002515894985394,0.0
100,8,0.007463764049472649,0.005875118401968726,0.005875118401968726,0.0
