N,t,mse_lin,mse_iso,mse_CV,lambda
50,0,0.006787873167424446,0.010310169131479717,0.006913621387377399,8.0
50,1,0.0009724654835969751,0.007112613644928647,0.0009724654835969751,inf
50,2,0.003901755336099823,0.00614034631826944,0.004869880817066765,256.0
50,3,0.0022091207372600405,0.005793509109647239,0.0022091207372600405,inf
50,4,0.005589036508694903,0.007417529669682121,0.005589036508694903,inf
50,5,0.0017600180000945276,0.006874747107241202,0.0017600180000945276,inf
50,6,0.004821892437398057,0.011061568953377964,0.004626948808760704,256.0
50,7,0.002228695783645062,0.005316867439213424,0.002228695783645062,inf
50,8,0.0013327007368773888,0.007096944217045504,0.0013327007368773888,inf
50,9,0.001795994932580547,0.004505976831162886,0.001795994932580547,inf
50,10,0.001179102090546817,0.009571271966430185,0.0012702494795804409,256.0
50,11,0.0017476872904305745,0.01132161369500174,0.0017476872904305745,inf
50,12,0.0013957849818842197,0.010196383314922824,0.005601321531043576,0.5
50,13,0.005619017916243644,0.016852652898585667,0.016852652898585667,0.0
50,14,0.002315725560229149,0.007516124801565676,0.007478061673076008,0.03125
50,15,0.006236736604479637,0.018870677460007382,0.006236736604479637,inf
50,16,0.004929647656779975,0.0042031291786615065,0.004052393057822559,0.125
50,17,0.0027705877859769325,0.00798012645822021,0.004810751039496744,0.5
50,18,0.0007594400738778306,0.005063586836964519,0.0022225417268744753,2.0
50,19,0.0025429793611828505,0.006841439702656798,0.0016357287848446042,32.0
50,20,0.0030717668695940505,0.00822714147798382,0.006027845034830131,0.5
50,21,0.004767560192309455,0.006213019182298971,0.004767560192309455,inf
50,22,0.005695286737651173,0.012525584665414233,0.00733144588298346,2.0
50,23,0.0005410284510703098,0.009732095535129371,0.009732095535129371,0.0
50,24,0.0013289876526329384,0.004754317531651292,0.0011265530864979845,256.0
50,25,0.0006739790871516401,0.012992426787809465,0.002036961162467077,8.0
50,26,0.003731107029903238,0.011768551956092324,0.003731107029903238,inf
50,27,0.0043638057714042635,0.005886890265946723,0.00377533439804558,4.0
50,28,0.0024187156355300527,0.009164704652589045,0.004814456345993877,1.0
50,29,0.0030569616093688813,0.01399315180379835,0.011632626075387589,0.25
50,30,0.008496230596007077,0.008205305479449681,0.008496230596007077,inf
50,31,0.003138862388346067,0.009313463472030648,0.003106533145412192,256.0
50,32,0.0037370200177115937,0.015374251612141343,0.0037370200177115937,inf
50,33,0.00420002884814245,0.009181320913094737,0.006324989339243997,256.0
50,34,0.0010990053407567962,0.004971667072824638,0.0010990053407567962,inf
50,35,0.0018271444859742792,0.006916458211267571,0.0018271444859742792,inf
50,36,0.006218590955217282,0.012475580091193426,0.0072241527795853374,16.0
50,37,0.004155111359424873,0.008567195126558605,0.004833439436698513,4.0
