Name,MSE_lin,SE_lin,MSE_cv,SE_cv,MSE_iso,SE_iso,MSE_constant,SE_constant,noise,lambda,est_error_lin,est_error_cv,est_error_iso,est_error_constant,percent_improvement_prediction_cv,percent_improvement_estimation_cv,percent_improvement_prediction_iso,percent_improvement_estimation_iso
NASA,0.8934116556881855,0.0811774539719521,0.893014659455815,0.0812035280669544,0.8797407312037929,0.0785527152614853,3.2344290774160904,0.1362783042836122,0.8143929651801766,8.0,0.07901869050800892,0.07862169427563848,0.06534776602361636,2.420036112235914,0.0,0.5,1.5,1.5
ICLR 2023,1.5182595360949438,0.0432925510886396,1.4914565326692504,0.0429822289713031,1.4950766147786314,0.0433180715909522,3.063998619501829,0.0780246440805588,1.464886161664409,0.0625,0.05337337443053469,0.026570371004841276,0.030190453114222304,1.59911245783742,1.8,50.2,1.5,1.5
ICLR 2024,1.5306239832766264,0.0509187688597852,1.4624331561523274,0.042401666824656,1.4624331561523274,0.042401666824656,2.9977239062944374,0.0491254727934292,1.4470396926192304,0.0,0.08358429065739603,0.015393463533097007,0.015393463533097007,1.550684213675207,4.5,81.6,4.5,4.5
ICLR 2025,1.2795959388599338,0.0188767163473443,1.2571814973655553,0.0186727742196622,1.2571814973655553,0.0186727742196622,2.8865692099984113,0.038798194821466,1.249838523551833,0.0,0.029757415308100832,0.007342973813722287,0.007342973813722287,1.6367306864465783,1.8,75.3,1.8,1.8
GPT-4o,0.99033226349073,0.0160952944177385,0.93621225414146,0.0164877350330037,0.93621225414146,0.0164877350330037,2.9788299967239795,0.0356206659489269,0.9314688942662346,0.0,0.6696421331402778,0.6155221237910078,0.6155221237910078,2.6581398663735274,5.5,8.1,5.5,5.5
Llama 3.1 70b,1.8368460345904956,0.0231619242005436,1.7632696030612374,0.022922256771023,1.7633551901601272,0.0229242688035022,2.9461999683643256,0.0351252393922723,1.755164269367457,0.001953125,0.6976030770428212,0.624026645513563,0.6241122326124529,1.8069570108166513,4.0,10.5,4.0,4.0
Human evaluators,1.2940272148957523,0.0253468031391906,1.2808913313623738,0.0251467844622129,1.2800401939299375,0.0251040150261523,3.0295603899028816,0.0510561575204421,1.2628794552820162,0.03125,0.04336159603697465,0.03022571250359607,0.029374575071159814,1.7788947710441039,1.0,30.3,1.1,1.1
All - 2019,0.2451109446050248,0.0038885930218438,0.2167620358731108,0.0033088485582759,0.2167248084645004,0.0033076615600164,1.2750262952446827,0.0094571489428082,0.2040715832385807,0.015625,0.041039361366444094,0.012690452634530086,0.01265322522591969,1.070954712006102,11.6,69.1,11.6,11.6
Business,0.2090673539576132,0.0035909981806174,0.1923886829330092,0.0030640630599542,0.1923922075876634,0.0030640082961208,1.0663315866236818,0.0101624779172007,0.1785110356607139,0.001953125,0.030556318296899282,0.01387764727229529,0.013881171926949487,0.8878205509629679,8.0,54.6,8.0,8.0
Couples2,0.1755337608729854,0.0024196878675013,0.1580383095547219,0.0020952961081862,0.161470435172009,0.0021251483579723,1.0685596833504252,0.0094438419005304,0.1495775001635401,0.015625,0.02595626070944529,0.008460809391181795,0.011892935008468913,0.9189821831868851,10.0,67.4,8.0,8.0
Family,0.2185660590177994,0.0025438816519339,0.2003572415629126,0.0022559803925617,0.2003572415629126,0.0022559803925617,1.2502721361539717,0.0083779715788967,0.1888609944647068,0.0,0.029705064553092603,0.011496247098205792,0.011496247098205792,1.0614111416892649,8.3,61.3,8.3,8.3
