Name,MSE_lin,SE_lin,MSE_cv,SE_cv,MSE_iso,SE_iso,MSE_constant,SE_constant,noise,lambda
NASA,0.8934116556881855,0.08117745397195215,0.893014659455815,0.08120352806695441,0.8797407312037929,0.07855271526148533,3.2344290774160904,0.13627830428361223,0.8143929651801766,8.0
ICLR 2023,1.5182595360949438,0.04329255108863965,1.4914565326692504,0.04298222897130312,1.4950766147786314,0.043318071590952203,3.063998619501829,0.0780246440805588,1.464886161664409,0.0625
ICLR 2024,1.5306239832766264,0.05091876885978524,1.4624331561523274,0.04240166682465604,1.4624331561523274,0.04240166682465604,2.9977239062944374,0.04912547279342926,1.4470396926192304,0.0
ICLR 2025,1.2795959388599338,0.01887671634734438,1.2571814973655553,0.018672774219662257,1.2571814973655553,0.018672774219662257,2.8865692099984113,0.03879819482146604,1.249838523551833,0.0
All - 2019,0.24511094460502483,0.003888593021843874,0.21676203587311083,0.0033088485582759898,0.21672480846450048,0.003307661560016471,1.2750262952446827,0.009457148942808285,0.20407158323858074,0.015625
Business,0.20906735395761325,0.00359099818061741,0.19238868293300926,0.003064063059954246,0.19239220758766343,0.0030640082961208297,1.0663315866236818,0.010162477917200765,0.1785110356607139,0.001953125
Couples,0.17553376087299014,0.0024196878675003418,0.16146797513492694,0.0021247874137994443,0.16147043517200904,0.002125148357972347,1.0685596833504252,0.009443841900530459,0.1495775001635402,0.00390625
Family,0.21856605901779944,0.0025438816519339656,0.20035724156291262,0.002255980392561753,0.20035724156291262,0.002255980392561753,1.2502721361539715,0.008377971578896765,0.18886099446470683,0.0
GPT-4o,0.35683735123330296,0.01072536783962176,0.3153713788987329,0.011053753701207947,0.3153713788987329,0.011053753701207947,3.0295603899028816,0.051056157520442125,0.3148172432165297,0.0
Llama 3.1 70b,1.1485728732628764,0.01814764077493784,1.1344172963622843,0.01811491351512797,1.1344172963622843,0.01811491351512797,3.023691417253402,0.052926447260945066,1.1311897390521606,0.0
Human evaluators,1.2940272148957532,0.0253468031391905,1.2808913313623738,0.02514678446221291,1.2800401939299375,0.025104015026152317,3.0295603899028816,0.051056157520442125,1.2628794552820162,0.03125
